model_key,sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops,recurrent_latency_ms,recurrent_latency_std_ms,peak_vram_mb,absrel_delta_vs_pretrained_u14_pct,lat_speedup_vs_pretrained_u14_pct,absrel_gain_vs_same_k_pct,absrel_gain_vs_ctrl2_pct,matches_or_beats_u14,trainable_params,train_time_sec,peak_train_vram_mb
control1_pretrained,uniform_K10,Uniform K=10,baseline_uniform,10,0.006228690850548446,10.041857337951662,0.0,13.641188733231976,2891.34988,147.74979553222656,3.791062148447194,1029.2880859375,9.031443486052215,28.20237196653497,0.0,90.62225025738802,False,0,0.0,0.0
control1_pretrained,uniform_K12,Uniform K=12,baseline_uniform,12,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,3469.6198560000003,176.27650146484376,1.276507209778548,1029.2880859375,1.5420397137323607,14.340086647003975,0.0,95.92096706606806,False,0,0.0,0.0
control1_pretrained,uniform_K14,Uniform K=14,baseline_uniform,14,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,4047.8898320000003,205.78645782470704,2.0719431127315735,1029.2880859375,0.0,0.0,0.0,97.90972838579292,True,0,0.0,0.0
control1_pretrained,uniform_K16,Uniform K=16,baseline_uniform,16,0.005718820891343056,9.69004316329956,0.0,15.610137342861696,4626.159808,236.46817169189453,2.6724045142986235,1029.2880859375,0.10631636444474533,-14.90949122284945,0.0,98.7893001889722,False,0,0.0,0.0
control1_pretrained,power_K10_g0.75,Power K=10 (gamma=0.75),power,10,0.006269871676340699,9.972380081812542,0.11944405724589888,13.218672845198148,2891.34988,148.72588348388672,1.704548187919507,1029.2880859375,9.752302007980889,27.728051176927128,-0.6611473707773947,92.96079190046413,False,0,0.0,0.0
control1_pretrained,power_K10_g1.25,Power K=10 (gamma=1.25),power,10,0.006342078497012456,10.16367309888204,0.0,15.378515044426063,2891.34988,150.28766784667968,1.7637703740035706,1029.2880859375,11.016261654763952,26.96911670703926,-1.820408962085917,89.00113972805703,False,0,0.0,0.0
control1_pretrained,cosine_endpoints_K10,Cosine Endpoints K=10,cosine,10,0.0061596030563426515,9.996671382586161,0.0,13.46359503873004,2891.34988,151.39233856201173,1.3901282511053938,1029.2880859375,7.822081501284287,26.432312328845903,1.1091864384264853,90.74083660702054,False,0,0.0,0.0
control1_pretrained,random_K10_s42,Random Monotonic K=10 (s42),random,10,0.006317116292969634,10.004785251617431,0.0,11.844000782302803,2891.34988,151.9890335083008,1.7109394172551295,1029.2880859375,10.579305446037914,26.142354013514318,-1.4196473150277131,92.604425718564,False,0,0.0,0.0
control1_pretrained,sampled_mild_K10,Sampled Mild K=10,sampled_train_dist,10,0.0061959548736922445,10.018430626392362,0.0,15.561849188091207,2891.34988,152.87760467529296,1.5041517349174311,1029.2880859375,8.458409618069606,25.710561184975006,0.5255675332372494,90.87277766837587,False,0,0.0,0.0
control1_pretrained,sampled_moderate_K10,Sampled Moderate K=10,sampled_train_dist,10,0.006206997965152065,10.011765885353089,0.0,17.053078477864602,2891.34988,154.98125305175782,2.2679811720667225,1029.2880859375,8.6517157607732,24.68831297743902,0.34827359258761986,90.76488040999683,False,0,0.0,0.0
control1_pretrained,power_K12_g0.75,Power K=12 (gamma=0.75),power,12,0.005865830151985089,9.719623907407126,0.0,14.383757269940508,3469.6198560000003,185.338671875,1.5279898769636613,1029.2880859375,2.67967122796423,9.936409891036115,-1.120355192232777,97.09970806575548,False,0,0.0,0.0
control1_pretrained,power_K12_g1.25,Power K=12 (gamma=1.25),power,12,0.005864398604414115,9.84349027077357,0.0,15.014457491073665,3469.6198560000003,186.3287353515625,2.4052199858128867,1029.2880859375,2.6546123990983634,9.455297826117896,-1.095676912244988,94.5826598067839,False,0,0.0,0.0
control1_pretrained,cosine_endpoints_K12,Cosine Endpoints K=12,cosine,12,0.0058699803155226014,9.80394605398178,0.0,17.386047681270465,3469.6198560000003,186.33848876953124,3.806718681022284,1029.2880859375,2.752318648113247,9.45055824409105,-1.1918993727060323,95.63028551321648,False,0,0.0,0.0
control1_pretrained,random_K12_s42,Random Monotonic K=12 (s42),random,12,0.005959800390216212,9.745006450017293,0.0,13.493711152602888,3469.6198560000003,185.51159057617187,2.892994726147724,1029.2880859375,4.324593245271507,9.852381669257218,-2.7402970625602268,97.41623207403359,False,0,0.0,0.0
control1_pretrained,sampled_mild_K12,Sampled Mild K=12,sampled_train_dist,12,0.005801879614591598,9.748636015256245,0.0,16.04078976422509,3469.6198560000003,186.00911560058594,1.6018973957429035,1029.2880859375,1.5602354474731936,9.610614047775597,-0.017919409332460032,95.92327398255846,False,0,0.0,0.0
control1_pretrained,sampled_moderate_K12,Sampled Moderate K=12,sampled_train_dist,12,0.00578750881444042,9.742076079050701,0.0,15.79834099897013,3469.6198560000003,185.58199005126954,1.7483533238076552,1029.2880859375,1.308678720365024,9.818171704305277,0.22981712207596838,95.67490019359943,False,0,0.0,0.0
control2_uniform_ft,uniform_K10,Uniform K=10,baseline_uniform,10,0.06641988772898913,56.320838006337475,27.247225467456268,41.36126865761026,2891.34988,147.74979553222656,3.791062148447194,1029.2880859375,1062.661048530857,28.20237196653497,0.0,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,uniform_K12,Uniform K=12,baseline_uniform,12,0.14221116211265325,122.47776260375977,49.366544205295114,44.253187784977904,3469.6198560000003,176.27650146484376,1.276507209778548,1029.2880859375,2389.3655275259457,14.340086647003975,0.0,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,uniform_K14,Uniform K=14,baseline_uniform,14,0.2733016736805439,252.28793118794755,77.12745742845054,50.85869895657492,4047.8898320000003,205.78645782470704,2.0719431127315735,1029.2880859375,4684.067262853463,0.0,0.0,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,uniform_K16,Uniform K=16,baseline_uniform,16,0.4723566353321075,494.11074930826817,101.04950099228229,69.5188994097033,4626.159808,236.46817169189453,2.6724045142986235,1029.2880859375,8168.46716689104,-14.90949122284945,0.0,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,power_K10_g0.75,Power K=10 (gamma=0.75),power,10,0.08907069641475876,75.70357414881389,21.339704240469253,44.21242982638895,2891.34988,148.72588348388672,1.704548187919507,1029.2880859375,1459.156945725436,27.728051176927128,-34.10244952263541,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,power_K10_g1.25,Power K=10 (gamma=1.25),power,10,0.05766123343879979,48.954390017191564,20.097235485314027,37.04815235493395,2891.34988,150.28766784667968,1.7637703740035706,1029.2880859375,909.343322034516,26.96911670703926,13.186794783404315,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,cosine_endpoints_K10,Cosine Endpoints K=10,cosine,10,0.0665244017727673,56.57499351501465,21.534922430596833,36.44955383613687,2891.34988,151.39233856201173,1.3901282511053938,1029.2880859375,1064.4905368344378,26.432312328845903,-0.15735353875426697,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,random_K10_s42,Random Monotonic K=10 (s42),random,10,0.08541752205540735,72.61112798055014,25.722158418017607,43.00258969598384,2891.34988,151.9890335083008,1.7109394172551295,1029.2880859375,1395.209178327212,26.142354013514318,-28.602328272419918,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,sampled_mild_K10,Sampled Mild K=10,sampled_train_dist,10,0.06788434255868198,57.617782465616855,25.150996968330322,41.10669886990049,2891.34988,152.87760467529296,1.5041517349174311,1029.2880859375,1088.295909504487,25.710561184975006,-2.2048438799960226,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,sampled_moderate_K10,Sampled Moderate K=10,sampled_train_dist,10,0.06721080224961043,57.04735472997029,24.097084777509558,38.82700608243491,2891.34988,154.98125305175782,2.2679811720667225,1029.2880859375,1076.5057799401586,24.68831297743902,-1.1907796710654526,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,power_K12_g0.75,Power K=12 (gamma=0.75),power,12,0.20224964537968235,176.9129315694173,53.0312117823692,48.93739724411384,3469.6198560000003,185.338671875,1.5279898769636613,1029.2880859375,3440.32192468619,9.936409891036115,-42.21784167649887,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,power_K12_g1.25,Power K=12 (gamma=1.25),power,12,0.1082523599267006,92.9330494562785,20.105023295464797,45.198612594968964,3469.6198560000003,186.3287353515625,2.4052199858128867,1029.2880859375,1794.9264535324585,9.455297826117896,23.879139781624193,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,cosine_endpoints_K12,Cosine Endpoints K=12,cosine,12,0.13433326898763576,115.01606998443603,43.230003434179466,42.20783320994763,3469.6198560000003,186.33848876953124,3.806718681022284,1029.2880859375,2251.465272133775,9.45055824409105,5.53957439626081,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,random_K12_s42,Random Monotonic K=12 (s42),random,12,0.2306631462648511,203.0854797999064,73.59107655611305,58.77475791876128,3469.6198560000003,185.51159057617187,2.892994726147724,1029.2880859375,3937.6920928860436,9.852381669257218,-62.1976382431431,0.0,False,316032,371.5472897999862,4543.35986328125
control2_uniform_ft,sampled_mild_K12,Sampled Mild K=12,sampled_train_dist,12,0.14231713364521664,122.75170249938965,42.57733183028641,44.64389189441896,3469.6198560000003,186.00911560058594,1.6018973957429035,1029.2880859375,2391.2205287518927,9.610614047775597,-0.07451702875435803,0.0,False,316032,371.5472897999862,4543.35986328125
