scene,subset,step_i,cos_h,rel_drift_h,cos_global_in,rel_drift_global_in,cos_global_out,rel_drift_global_out,cos_residual,rel_drift_residual,residual_ratio,cos_k,rel_drift_k,cos_v,rel_drift_v
scan1,subset_middle,2,0.949910581111908,0.3326357719384303,0.9433357119560242,0.37907522776775887,0.949910581111908,0.3326357719384303,0.5368506908416748,1.1206414604943482,0.2926204989076625,0.9561460614204407,0.2765413114529246,0.7627113461494446,0.6408882053693059
scan1,subset_middle,3,0.9674821496009827,0.2530793664777455,0.9640194177627563,0.2711394931032216,0.9674821496009827,0.2530793664777455,0.7640935778617859,0.6944046895969255,0.29416544605236283,0.9779714941978455,0.19180595758195004,0.8891359567642212,0.4413375470214775
scan1,subset_middle,4,0.9836257100105286,0.17790587983169848,0.9775068759918213,0.20852591126397765,0.9836257100105286,0.17790587983169848,0.8528701663017273,0.575973630795778,0.26201792580518046,0.9908329844474792,0.1239458043370978,0.9345367550849915,0.3242474269831463
scan1,subset_middle,5,0.9917939901351929,0.1264255513511,0.9880515336990356,0.1523386985073501,0.9917939901351929,0.1264255513511,0.9240077137947083,0.41516283367535134,0.23020859078818373,0.995819628238678,0.08414150607607714,0.9626876711845398,0.22577603227629883
scan1,subset_middle,6,0.9951338171958923,0.09868959764710573,0.9932763576507568,0.11608690329186652,0.9951338171958923,0.09868959764710573,0.9517992734909058,0.31606144295226324,0.20876157128690012,0.9977196455001831,0.06180140429272374,0.9748958945274353,0.16764218317690951
scan1,subset_middle,7,0.9967881441116333,0.08243746540417016,0.9958621859550476,0.09374777000370392,0.9967881441116333,0.08243746540417016,0.9655582308769226,0.2678335405236237,0.18967954989289926,0.9986277222633362,0.04791461017605098,0.9829623103141785,0.1297527556108083
scan1,subset_middle,8,0.9979435801506042,0.06843989349273975,0.9971988797187805,0.08106011588847409,0.9979435801506042,0.06843989349273975,0.9762277007102966,0.2228213068989127,0.171352419566414,0.9990557432174683,0.03989240791070638,0.987555980682373,0.1098723657304677
scan1,subset_middle,9,0.9984840154647827,0.06258277151591905,0.9980727434158325,0.07013163495395429,0.9984840154647827,0.06258277151591905,0.9838700294494629,0.17691683175164863,0.15900994451687234,0.9993087649345398,0.034455914241057185,0.9912897944450378,0.09041041571749547
scan1,subset_middle,10,0.9988135099411011,0.05968539847527436,0.9985582232475281,0.065389690862986,0.9988135099411011,0.05968539847527436,0.9888954758644104,0.14595607424373447,0.1493486407592105,0.9994536638259888,0.03091078180661062,0.9936450719833374,0.07777957854206721
scan1,subset_middle,11,0.9990091919898987,0.05852304147393369,0.9988178610801697,0.0628395454299835,0.9990091919898987,0.05852304147393369,0.9914151430130005,0.1281160244230285,0.14093582838857396,0.9995257258415222,0.02896571757967518,0.9951252937316895,0.06968999500485125
scan1,subset_middle,12,0.9991298913955688,0.06001288561691432,0.9990007877349854,0.0635896811546445,0.9991298913955688,0.06001288561691432,0.9930087924003601,0.11503560100205541,0.13390875332201185,0.9995777010917664,0.02752279929403891,0.9962317943572998,0.06197973650431345
scan1,subset_middle,13,0.9991856813430786,0.05978252673682949,0.9991068840026855,0.06412162223782729,0.9991856813430786,0.05978252673682949,0.9936555027961731,0.10998044808862432,0.12762844804444773,0.9996126890182495,0.026478395285511158,0.9968531727790833,0.05707378881925578
scan1,subset_middle,14,0.9991930723190308,0.06224864236891698,0.9991064667701721,0.06375105302334966,0.9991930723190308,0.06224864236891698,0.9948535561561584,0.10026264699118363,0.12350331616911166,0.999646782875061,0.02536818632316241,0.9973716139793396,0.052452820560337995
scan1,subset_middle,15,0.9991880059242249,0.06516662281878227,0.9991307258605957,0.06553055922490077,0.9991880059242249,0.06516662281878227,0.9955384731292725,0.09790496688720367,0.12131334009389014,0.9996745586395264,0.024393056900426334,0.997726559638977,0.04828023280866019
scan1,subset_middle,16,0.9992806315422058,0.06696905412060895,0.9991936683654785,0.06847944104634157,0.9992806315422058,0.06696905412060895,0.9959514737129211,0.08969240296881946,0.11633276698910348,0.9997033476829529,0.023376539300931663,0.9979349374771118,0.04592417515539131
scan1,subset_uniform,2,0.9475081562995911,0.3415545769636147,0.9383105635643005,0.39344795489971823,0.9475081562995911,0.3415545769636147,0.5238795280456543,1.1499817396074719,0.3014346659963305,0.9526712894439697,0.2864061835915696,0.7355943322181702,0.6801929923010918
scan1,subset_uniform,3,0.9661848545074463,0.25851895022023336,0.9610800743103027,0.28214483913605853,0.9661848545074463,0.25851895022023336,0.7465481758117676,0.735754849422384,0.29384566252399275,0.9761199951171875,0.20059468566351865,0.8676823973655701,0.48256701703360744
scan1,subset_uniform,4,0.983634889125824,0.17763877925029015,0.9763806462287903,0.21349924591995312,0.983634889125824,0.17763877925029015,0.8601657748222351,0.5645567241784946,0.2626554220874846,0.9903294444084167,0.12833652201695378,0.9315916299819946,0.33545066525837075
scan1,subset_uniform,5,0.9921583533287048,0.12352499315379567,0.9884264469146729,0.14996019034169933,0.9921583533287048,0.12352499315379567,0.935162365436554,0.3921527041591771,0.22886513200051695,0.9960197806358337,0.08240801062514304,0.9662084579467773,0.21991057252421453
scan1,subset_uniform,6,0.9955275654792786,0.09446919012662018,0.9937344789505005,0.11228447261323905,0.9955275654792786,0.09446919012662018,0.9599557518959045,0.2966723969398984,0.2050433920822667,0.9978991746902466,0.05959965895306316,0.9788124561309814,0.16172809105481487
scan1,subset_uniform,7,0.9970812797546387,0.07845680319079716,0.9961584806442261,0.09051696263097023,0.9970812797546387,0.07845680319079716,0.9741286039352417,0.23163385597666664,0.1868042790889755,0.9986945986747742,0.04692073572263471,0.9857263565063477,0.1269677326024813
scan1,subset_uniform,8,0.9979457259178162,0.06776218176289545,0.9974006414413452,0.0782944229410217,0.9979457259178162,0.06776218176289545,0.9814535975456238,0.19637242538279032,0.17011749025880513,0.9990594983100891,0.03960372898327296,0.9895403385162354,0.10574851918906414
scan1,subset_uniform,9,0.9984383583068848,0.06272087384080959,0.998092770576477,0.06941487489391689,0.9984383583068848,0.06272087384080959,0.9860101938247681,0.1657305598378684,0.15811269437404885,0.9992649555206299,0.03524803251964,0.9921334981918335,0.09111518774342739
scan1,subset_uniform,10,0.9987589716911316,0.060292359515191365,0.9985259771347046,0.06565332004030547,0.9987589716911316,0.060292359515191365,0.9895200729370117,0.141067175744404,0.14828228015772507,0.999408483505249,0.03180176575862388,0.9939935803413391,0.07931891848346488
scan1,subset_uniform,11,0.9989588856697083,0.05926993623849969,0.9987870454788208,0.06335846537681211,0.9989588856697083,0.05926993623849969,0.9910051822662354,0.12997360021123308,0.13978330925340257,0.9995018839836121,0.029475400487497614,0.9952052235603333,0.07096446551485966
scan1,subset_uniform,12,0.9991053938865662,0.06029659327984802,0.9989839196205139,0.06391818605013225,0.9991053938865662,0.06029659327984802,0.9929781556129456,0.1143021058019817,0.13228380705436274,0.9995628595352173,0.02784066460728372,0.9962718486785889,0.06349958010142288
scan1,subset_uniform,13,0.9991808533668518,0.059819771999162004,0.9991055727005005,0.06418411303926334,0.9991808533668518,0.059819771999162004,0.9934870600700378,0.11169263511050971,0.12563283142961967,0.9996045827865601,0.02660686753354061,0.9968593716621399,0.05826462303138135
scan1,subset_uniform,14,0.9992039799690247,0.06194589238759661,0.9991310238838196,0.06343189786948905,0.9992039799690247,0.06194589238759661,0.9941256046295166,0.10662275972442982,0.12111357994243875,0.9996429085731506,0.025401760514728804,0.9972794055938721,0.053763785256498685
scan1,subset_uniform,15,0.999211847782135,0.064595051144236,0.9991666078567505,0.06491155051487751,0.999211847782135,0.064595051144236,0.9947603344917297,0.10441532860717342,0.11849003836324924,0.9996715784072876,0.024386353501803362,0.997708261013031,0.04950033614614992
scan1,subset_uniform,16,0.9993107914924622,0.06622920898263729,0.9992271065711975,0.06776255646986024,0.9993107914924622,0.06622920898263729,0.9955407381057739,0.09344241546576246,0.11322725110623479,0.9997092485427856,0.02307053032170343,0.9978927969932556,0.047085794766723935
scan4,subset_middle,2,0.9373238682746887,0.3689700780537154,0.9349329471588135,0.404395946233115,0.9373238682746887,0.3689700780537154,0.4878365993499756,1.1307313757027848,0.32344419646442013,0.9455782771110535,0.30605575295010784,0.737574577331543,0.6769275388081892
scan4,subset_middle,3,0.9686023592948914,0.24951045033141514,0.9603797197341919,0.2841766212875501,0.9686023592948914,0.24951045033141514,0.784442663192749,0.6975629254042051,0.30182153794141003,0.9799108505249023,0.1853655446754348,0.8904818892478943,0.43965336638099306
scan4,subset_middle,4,0.9839651584625244,0.17672672789805183,0.9787082076072693,0.20376943693832278,0.9839651584625244,0.17672672789805183,0.8787884712219238,0.531405913594631,0.26673694209317006,0.9921116232872009,0.11623064346797776,0.9416192770004272,0.3037414585802424
scan4,subset_middle,5,0.992271363735199,0.12337606013939044,0.9885565042495728,0.1499581565720891,0.992271363735199,0.12337606013939044,0.9310342073440552,0.4075087653432337,0.2308935448682388,0.996304988861084,0.07948411447189098,0.9641743898391724,0.21793430696497107
scan4,subset_middle,6,0.9953181743621826,0.09718645233366573,0.9938385486602783,0.11182700045577612,0.9953181743621826,0.09718645233366573,0.9590563178062439,0.29720790370157385,0.20875569471359415,0.9980033040046692,0.05850479501253234,0.9779306650161743,0.15825350954510542
scan4,subset_middle,7,0.9968639016151428,0.08222141947558144,0.9959736466407776,0.09282932661426474,0.9968639016151428,0.08222141947558144,0.9710906147956848,0.24245562820018673,0.19195617581368882,0.9986296892166138,0.048368235168215014,0.983548104763031,0.1296929107452096
scan4,subset_middle,8,0.9978558421134949,0.0706316193958707,0.9971845746040344,0.08210911425798618,0.9978558421134949,0.0706316193958707,0.9794574975967407,0.20427806495026388,0.17549876309799303,0.9989848732948303,0.04193177698393815,0.9880597591400146,0.11133227334951508
scan4,subset_middle,9,0.9983639121055603,0.06551782780015902,0.997952401638031,0.07286939277832827,0.9983639121055603,0.06551782780015902,0.9851638674736023,0.1686773196946225,0.16402269988888257,0.9992139935493469,0.03721288538395627,0.991405189037323,0.093084035540037
scan4,subset_middle,10,0.998704731464386,0.06260300699661428,0.9984148740768433,0.06867468220969841,0.998704731464386,0.06260300699661428,0.9885489344596863,0.14811819775300175,0.1540318209672954,0.9993563890457153,0.0338542436310004,0.993523359298706,0.08043892150851384
scan4,subset_middle,11,0.9989528656005859,0.0607944898896186,0.998721718788147,0.06576655989173882,0.9989528656005859,0.0607944898896186,0.9912026524543762,0.12931602909061274,0.14530448346053326,0.9994620084762573,0.03112089353867308,0.9950433373451233,0.07149724107259302
scan4,subset_middle,12,0.9990841150283813,0.062072444018204054,0.9989528059959412,0.06602608585730482,0.9990841150283813,0.062072444018204054,0.9920632243156433,0.12408486679279492,0.13724904371159852,0.9995481967926025,0.028669916813199064,0.9963262677192688,0.06353576658692452
