scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan1,subset_uniform,2pct,3,24,9,True,True,0.003247557207942009,0.003247557207942009,0.0035596389789134264,0.0,-0.0003120817709714174,6.317085266113281,2.114062547683716,0.9996611475944519,645.3779907226562,0.0
scan1,subset_uniform,2pct,4,32,8,True,False,0.00350568606518209,0.00350568606518209,0.0036821523681282997,0.0,-0.0001764663029462099,4.725595951080322,2.247241735458374,1.0,642.3599853515625,0.12508152425289154
scan1,subset_uniform,2pct,5,40,15,True,True,0.0031885255593806505,0.0026940188836306334,0.0026711286045610905,0.0004945066757500172,0.00051739695481956,2.922671318054199,1.981858491897583,1.0,653.493408203125,0.0
scan4,subset_middle,5pct,0,24,11,True,False,0.006562517490237951,0.006562517490237951,0.006279202178120613,0.0,0.0002833153121173382,11.969585418701172,4.529019832611084,0.9993579387664795,689.1775512695312,0.0
scan4,subset_middle,5pct,1,0,13,True,True,0.01001805067062378,0.010063082911074162,0.010012357495725155,-4.503224045038223e-05,5.69317489862442e-06,25.879467010498047,6.539564609527588,0.986885130405426,699.8512573242188,0.0
scan4,subset_middle,5pct,2,1,13,True,True,0.008272798731923103,0.00830003246665001,0.008321625180542469,-2.7233734726905823e-05,-4.882644861936569e-05,23.0633602142334,5.465959072113037,0.9890381693840027,700.7186279296875,0.0
scan4,subset_middle,5pct,3,2,13,True,True,0.007226971909403801,0.007249865680932999,0.0073970830999314785,-2.2893771529197693e-05,-0.00017011119052767754,19.212081909179688,4.802325248718262,0.9916080236434937,696.3636474609375,0.0
scan4,subset_middle,5pct,4,3,13,True,True,0.007272146642208099,0.007309392094612122,0.0073531209491193295,-3.724545240402222e-05,-8.097430691123009e-05,20.21344566345215,4.951350212097168,0.9914013743400574,698.3201293945312,0.0
scan4,subset_middle,5pct,5,4,14,True,True,0.006834832020103931,0.006857297383248806,0.006704268045723438,-2.2465363144874573e-05,0.00013056397438049316,18.521028518676758,4.6167497634887695,0.9934444427490234,689.377685546875,0.0
scan4,subset_middle,2pct,0,24,12,True,False,0.005660756025463343,0.005660756025463343,0.006279202178120613,0.0,-0.0006184461526572704,11.334656715393066,3.820770263671875,0.9994171857833862,689.1796875,0.0
