sched_key,sched_name,sched_type,total_steps,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops,latency_ms,latency_std_ms,peak_vram_mb,lat_gain_vs_fixed14_pct,lat_gain_vs_fixed16_pct,absrel_delta_vs_fixed14_pct,absrel_delta_vs_fixed16_pct,matches_fixed14_quality,meets_5pct_speedup_vs_fixed14,verdict_go_candidate
fixed_16,Fixed i=16,fixed,16,0.00571882089134301,9.69004316329956,0.0,15.610137342861696,4626.1598079999985,258.15467529296876,4.190457712150648,750.34814453125,-17.977775854688062,0.0,-1.1546535704536538,0.0,True,False,False
fixed_15,Fixed i=15,fixed,15,0.00571565920642262,9.707525769869488,0.0,15.182535240625933,4337.024819999999,236.01564025878906,3.1209321666741836,750.34814453125,-7.860143431655674,8.575879948350751,-1.209300821555733,-0.05528560835287266,True,False,False
fixed_14,Fixed i=14,fixed,14,0.00578562481484062,9.78745527267456,0.0,11.47358968604351,4047.889831999999,218.8163604736328,1.4526860404577118,750.34814453125,0.0,15.238273246336743,0.0,1.1681415586687756,True,False,False
fixed_13,Fixed i=13,fixed,13,0.00603610334219407,9.991010828812916,0.0,19.170634586851413,3758.754843999999,203.76817626953124,2.7047663247630878,750.34814453125,6.877083674881279,21.067408119460396,4.329325446595697,5.548039655016179,False,True,False
varA_skip_16,VarA: Skip 16,variantA,16,0.0057649868035999,9.789914011955263,0.23888811449179775,16.21370147588644,4437.601134999999,239.8865936279297,3.5195184894744833,750.34814453125,-9.629185454273118,7.076409382982273,-0.35671188335237036,0.8072627755622561,True,False,False
varA_skip_15,VarA: Skip 15,variantA,16,0.00568436813773583,9.692541519800823,0.0,17.54716097151729,4437.601134999999,242.05169525146485,2.2072126840335575,750.34814453125,-10.618646031557532,6.23772551212924,-1.7501424711304794,-0.6024450540028917,True,False,False
varA_skip_15_16,"VarA: Skip {15,16}",variantA,16,0.0061688520518752,10.05574790239334,0.11944405724589888,16.84265409618156,4249.042461999999,233.8003677368164,4.37175691801588,750.34814453125,-6.847754542096572,9.433998252603281,6.623783070958382,7.869299792435089,False,False,False
varA_skip_14_16,"VarA: Skip {14,16}",variantA,16,0.00593373123556371,9.852307323614756,0.0,17.068279995009345,4249.042461999999,231.121533203125,2.814503161763532,750.34814453125,-5.623515857250062,10.471684101465522,2.5599036484907347,3.757948505539409,False,False,False
varA_skip_even_after_10,"VarA: Skip {12,14,16}",variantA,16,0.006308739306405141,10.060977967580161,0.11944405724589888,19.44874266763906,4060.4837889999985,220.81910095214843,1.604308757295044,750.34814453125,-0.915260848951442,14.462482346465263,9.041624859992433,10.31538539622971,False,False,False
varA_skip_13_15,"VarA: Skip {13,15}",variantA,16,0.00591341914065797,9.797790431976319,0.0,16.150994470945925,4249.0424619999985,230.78646850585938,2.1418491903546473,750.34814453125,-5.470389876843304,10.601476326566765,2.2088249740900388,3.402768735239415,False,False,False
varB_reuse_16_a0.5,VarB: reuse_16 (alpha=0.5),variantB,16,0.00568835709709669,9.707923114299774,0.0,16.544509393106154,4437.601134999999,244.60808258056642,2.332150927644993,767.52197265625,-11.786925827258463,5.2474713839789615,-1.681196428334415,-0.5326936238278684,True,False,False
varB_reuse_16_a0.75,VarB: reuse_16 (alpha=0.75),variantB,16,0.005687375285197011,9.685555036862691,0.0,16.359996718753685,4437.601134999999,245.06623229980468,5.156067895663741,767.52197265625,-11.996302182045916,5.070000370247241,-1.6981662791474288,-0.5498617065206732,True,False,False
varB_reuse_16_a1.0,VarB: reuse_16 (alpha=1.0),variantB,16,0.00571209699846799,9.678179268042246,0.11944405724589888,16.67376325085055,4437.601134999999,249.3083969116211,1.599274519286197,767.52197265625,-13.9349893088376,3.426735685227629,-1.2708708000564508,-0.11757481136012084,True,False,False
varB_reuse_15_a0.5,VarB: reuse_15 (alpha=0.5),variantB,16,0.00567203443109362,9.679022034009297,0.0,17.924681237268334,4437.601134999999,250.45321502685547,3.116868378670043,767.52197265625,-14.458176017891896,2.9832735964875425,-1.9633209442760733,-0.8181137534874346,True,False,False
varB_reuse_15_a0.75,VarB: reuse_15 (alpha=0.75),variantB,16,0.00568439655083537,9.680777450402578,0.0,15.706096809836732,4437.601134999999,249.2640640258789,3.328805895023283,767.52197265625,-13.914728992997304,3.443908678779608,-1.7496513729267569,-0.6019482190769574,True,False,False
varB_reuse_15_a1.0,VarB: reuse_15 (alpha=1.0),variantB,16,0.00570455179549749,9.686488481362662,0.0,11.875294744066391,4437.601134999999,246.47502593994142,4.4330286934899545,767.52197265625,-12.640126819786609,4.524283490032713,-1.4012837323147955,-0.2495111512780538,True,False,False
varB_reuse_15_16_a0.5,VarB: reuse_15_16 (alpha=0.5),variantB,16,0.00572603046894069,9.750995520750681,0.0,17.398464031366622,4249.042461999999,236.17508239746093,3.850158961604439,767.52197265625,-7.933009161771441,8.514117697292962,-1.0300416602726343,0.1260675536908949,True,False,False
varB_reuse_15_16_a0.75,VarB: reuse_15_16 (alpha=0.75),variantB,16,0.0056606534247596605,9.681402532259623,0.11944405724589888,15.312254350312662,4249.042461999999,241.13289947509764,3.1440897673883517,767.52197265625,-10.198752485033658,6.593634532690073,-2.160032737698394,-1.0171234191195242,True,False,False
varB_reuse_15_16_a1.0,VarB: reuse_15_16 (alpha=1.0),variantB,16,0.00569634443381795,9.658864994843801,0.0,15.80993663602579,4249.042461999999,237.84773712158204,4.27338213932707,767.52197265625,-8.697419428216152,7.866190355972147,-1.5431415599860188,-0.3930260791885295,True,False,False
varB_reuse_14_16_a0.5,VarB: reuse_14_16 (alpha=0.5),variantB,16,0.00570806643615162,9.68575295607249,0.0,14.640699962751492,4249.042461999999,239.52954711914063,2.2872089013137265,767.52197265625,-9.466013693251123,7.21471658519888,-1.3405359174009301,-0.18805371589219647,True,False,False
varB_reuse_14_16_a0.75,VarB: reuse_14_16 (alpha=0.75),variantB,16,0.00569406284096957,9.663799420992534,0.0,14.786602416825286,4249.042461999999,238.09977264404296,3.037524419074355,767.52197265625,-8.812600725407723,7.7685606995753025,-1.5825771079414956,-0.432922290168563,True,False,False
varB_reuse_14_16_a1.0,VarB: reuse_14_16 (alpha=1.0),variantB,16,0.00573450468946246,9.673683102925619,0.0,15.280867068421491,4249.042461999999,237.93499145507812,2.8693314680204636,767.52197265625,-8.737295026780727,7.832391110075456,-0.8835713862231894,0.27424880788260747,True,False,False
varB_reuse_even_after_10_a0.5,VarB: reuse_even_after_10 (alpha=0.5),variantB,16,0.00577491280855607,9.757952904701233,0.11944405724589888,16.82182017381686,4060.4837889999985,227.5829864501953,3.2537759313956474,767.52197265625,-4.006385060781991,11.842392088417126,-0.1851486507917426,0.9808301095418201,True,False,False
varB_reuse_even_after_10_a0.75,VarB: reuse_even_after_10 (alpha=0.75),variantB,16,0.005727099056821261,9.70804734627406,0.0,15.541540163763191,4060.4837889999985,231.41245727539064,5.400279974682521,767.52197265625,-5.75646938578692,10.358990394897756,-1.0115719544972184,0.1447530117752373,True,False,False
varB_reuse_even_after_10_a1.0,VarB: reuse_even_after_10 (alpha=1.0),variantB,16,0.005858663989541389,9.706729352474213,0.11944405724589888,16.27962668631566,4060.4837889999985,235.70753631591796,4.086001918040864,767.52197265625,-7.7193386297641675,8.695228529786066,1.2624250109239257,2.4453134807923322,False,False,False
varC_frozen_kv_16,VarC: Freeze K/V 16,variantC,16,0.00570020139760643,9.667202862103782,0.0,17.047592577756635,4612.330084999999,258.0830871582031,4.409950092221581,889.3955078125,-17.945059775044523,0.02773071403196762,-1.4764769574250969,-0.32558273970017193,True,False,False
varC_frozen_kv_15,VarC: Freeze K/V 15,variantC,16,0.00570387414578963,9.660844616095224,0.0,15.038250936184426,4612.330085,260.3431732177734,4.649666492206399,889.3955078125,-18.977928640369903,-0.8477467713187963,-1.4129963775268102,-0.2613606167664096,True,False,False
