model_key,target_cv,actual_cv,abs_rel,rmse,rot_err_deg,trans_err_deg
control1_pretrained,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189
control1_pretrained,0.1,0.09824806871530842,0.005800574210782846,9.744169584910075,0.0,15.400360547599988
control1_pretrained,0.2,0.20095647148470905,0.005814491868174325,9.733007272084555,0.0,15.512082278244439
control1_pretrained,0.4,0.3996253566069315,0.005823914310894907,9.75726490020752,0.0,18.71586023652528
control1_pretrained,0.6,0.601004662459093,0.0058521409286186096,9.75883533557256,0.0,16.676145117462333
control2_uniform_ft,0.0,0.0,0.14221116211265325,122.47776260375977,49.366544205295114,44.253187784977904
control2_uniform_ft,0.1,0.09824806871530842,0.14675845776995022,126.6898806889852,47.96370953822408,43.980739144686325
control2_uniform_ft,0.2,0.20095647148470905,0.1526084341108799,131.99397004445393,49.06715363480511,49.58816884590498
control2_uniform_ft,0.4,0.3996253566069315,0.12992440710465114,112.30887508392331,41.27340267087232,48.70220861620862
control2_uniform_ft,0.6,0.601004662459093,0.17193436119705435,148.07327334086102,53.98436153631155,42.44239285569288
treatment1_mild_ft,0.0,0.0,0.250293917953968,217.9595933278402,86.17274429480956,54.07027295058201
treatment1_mild_ft,0.1,0.09824806871530842,0.2559907508393129,223.3072812398275,85.60791114345434,64.8430874102411
treatment1_mild_ft,0.2,0.20095647148470905,0.26443759997685745,230.92399139404296,86.17682824989859,62.994047549955326
treatment1_mild_ft,0.4,0.3996253566069315,0.2357386637479067,204.7455150604248,75.86465618197589,53.20101098949898
treatment1_mild_ft,0.6,0.601004662459093,0.28557525128126143,251.73883196512855,93.08210322624987,63.21792660122245
treatment2_mod_ft,0.0,0.0,0.1864023638268312,164.26417490641276,92.67811815547716,77.58051091973007
treatment2_mod_ft,0.1,0.09824806871530842,0.18793943809966246,165.33338305155434,111.23685909400407,82.81486910731078
treatment2_mod_ft,0.2,0.20095647148470905,0.1935956393678983,169.9457993825277,93.42727241394428,75.48900323391501
treatment2_mod_ft,0.4,0.3996253566069315,0.1777733976642291,156.48460261027017,89.5573541660689,68.05025691585192
treatment2_mod_ft,0.6,0.601004662459093,0.19999085453649362,175.57988560994468,100.83010720529182,77.38966732347026
