model,target_cv,actual_cv,abs_rel,rmse,rot_err_deg,trans_err_deg,delta_vs_ctrl_absrel_pct,delta_vs_pre_absrel_pct
Pretrained,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,-0.6279419595913112,0.0
Uniform_FT,0.0,0.0,0.005837496226498236,9.68503927787145,0.0,16.79348423313599,0.0,0.6319099875499858
Mild_Rand_FT,0.0,0.0,0.005853530225188782,9.69020788272222,0.11944405724589888,16.692353645948597,0.27467253199688907,0.9083182027096195
Mod_Rand_FT,0.0,0.0,0.00585153631788368,9.688593514760335,0.0,12.859044293773163,0.24051563959410943,0.8739454694923102
Pretrained,0.1,0.09824806871530842,0.005800574210782846,9.744169584910075,0.0,15.400360547599988,-1.0244831582471312,0.0
Uniform_FT,0.1,0.09824806871530842,0.005860615226750573,9.702496143182119,0.0,14.863355053012834,0.0,1.0350874548956661
Mild_Rand_FT,0.1,0.09824806871530842,0.005861556824917595,9.703182756900786,0.0,14.937331086568676,0.01606654132016826,1.051320298969475
Mod_Rand_FT,0.1,0.09824806871530842,0.005851101079800476,9.699074045817056,0.11944405724589888,16.836318642159124,-0.16234041277218808,0.8710666768766473
Pretrained,0.2,0.20095647148470905,0.005814491868174325,9.733007272084555,0.0,15.512082278244439,-0.40024323991253546,0.0
Uniform_FT,0.2,0.20095647148470905,0.005837857498166463,9.684974606831869,0.11944405724589888,15.18326974742989,0.0,0.4018516238715601
Mild_Rand_FT,0.2,0.20095647148470905,0.005818944773636758,9.686685260136922,0.11944405724589888,16.716492718641682,-0.3239668754443695,0.07658288227741146
Mod_Rand_FT,0.2,0.20095647148470905,0.005843793243790666,9.688004962603252,0.11944405724589888,14.930671908260006,0.1016767816971826,0.5039369953670931
Pretrained,0.4,0.3996253566069315,0.005823914310894907,9.75726490020752,0.0,18.71586023652528,-0.32209939366729085,0.0
Uniform_FT,0.4,0.3996253566069315,0.005842733720783144,9.696572955449422,0.0,16.59883774762889,0.0,0.3231402263771467
Mild_Rand_FT,0.4,0.3996253566069315,0.005860374188826729,9.702789636452993,0.0,19.473650934803196,0.30192147865366864,0.6260373347804181
Mod_Rand_FT,0.4,0.3996253566069315,0.005843719029023002,9.700216146310172,0.0,16.15978076537392,0.016863822432171414,0.3400585426033013
Pretrained,0.6,0.601004662459093,0.0058521409286186096,9.75883533557256,0.0,16.676145117462333,-0.43781435849872036,0.0
Uniform_FT,0.6,0.601004662459093,0.005877875109824042,9.690021208922067,0.11944405724589888,16.785552241071365,0.0,0.4397396016145941
Mild_Rand_FT,0.6,0.601004662459093,0.00587833944397668,9.699042455355325,0.0,17.499601132580135,0.007899694089487357,0.44767403378739934
Mod_Rand_FT,0.6,0.601004662459093,0.005873876418142268,9.69498470624288,0.11944405724589888,18.29111295148069,-0.06802954481101661,0.3714109039542453
