sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops,latency_ms,latency_std_ms,peak_vram_mb,lat_gain_vs_uniform14_pct,absrel_delta_vs_uniform14_pct,absrel_gain_vs_same_k_pct,matches_uniform14_quality,improves_over_same_k,verdict_go_candidate
uniform_K8,Uniform K=8,baseline,8,0.00784752796947335,11.048825140794118,0.0,19.097487877443697,2313.079904,117.0423484802246,2.1063677205409723,808.03173828125,42.94436150785898,37.368722069984955,0.0,False,False,False
uniform_K10,Uniform K=10,baseline,10,0.006228690850548446,10.041857337951662,0.0,13.641188733231976,2891.34988,145.60401153564453,0.46716817301593766,808.03173828125,29.021162399292592,9.031443486052215,0.0,False,False,False
uniform_K12,Uniform K=12,baseline,12,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,3469.6198560000003,175.92106018066406,0.9519726439880818,808.03173828125,14.242250406330093,1.5420397137323607,0.0,False,False,False
uniform_K13,Uniform K=13,baseline,13,0.0057631407903196916,9.697828976313273,0.0,16.87114452097828,3758.754844,189.57353973388672,0.30171690707200116,808.03173828125,7.586958983827322,0.8821234604339584,0.0,False,False,False
uniform_K14,Uniform K=14,baseline,14,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,4047.8898320000003,205.13721618652343,1.4968067925181274,808.03173828125,0.0,0.0,0.0,True,False,False
uniform_K16,Uniform K=16,baseline,16,0.005718820891343056,9.69004316329956,0.0,15.610137342861696,4626.159808,235.41767272949218,2.146991086747993,808.03173828125,-14.761074126810753,0.10631636444474533,0.0,False,False,False
power_K8_g0.5,Power K=8 (gamma=0.5),power,8,0.007967385812662542,10.922448360919953,0.11944405724589888,19.809593483194718,2313.079904,119.59702377319336,1.458119629980961,808.03173828125,41.69901200938188,39.46679917312,-1.5273324753404482,False,False,False
power_K8_g0.75,Power K=8 (gamma=0.75),power,8,0.007780549221206456,10.917274689674375,0.0,16.93799150768,2313.079904,118.29240036010742,0.6054319953265503,808.03173828125,42.3349879855303,36.1962783283301,0.8535012366625466,False,True,False
power_K8_g1.25,Power K=8 (gamma=1.25),power,8,0.008185662003234027,11.32741856177648,0.0,13.41495829151484,2313.079904,117.93931427001954,1.2446295804244154,808.03173828125,42.50710989332047,43.28766116606192,-4.308796796596434,False,False,False
power_K8_g1.5,Power K=8 (gamma=1.5),power,8,0.008538450541285178,11.583154888947805,0.0,18.20216745868052,2313.079904,119.68634033203125,0.9822053923838593,808.03173828125,41.655472099609156,49.46312314868129,-8.804333982618417,False,False,False
power_K8_g2.0,Power K=8 (gamma=2.0),power,8,0.009295496934403976,12.153179081281028,0.0,18.706260893009283,2313.079904,118.05965118408203,0.971360565377855,808.03173828125,42.44844822465812,62.71500271826756,-18.45127498192019,False,False,False
cosine_late_K8,Cosine Late-Dense K=8,cosine,8,0.008916263844973096,11.861668435732524,0.11944405724589888,17.239940968077235,2313.079904,119.53795852661133,1.2681926336772473,808.03173828125,41.72780505224365,56.07663646275125,-13.6187584122936,False,False,False
cosine_early_K8,Cosine Early-Dense K=8,cosine,8,0.0076712544308975335,10.728845671812692,0.11944405724589888,21.624923751914785,2313.079904,119.10668487548828,0.9517050197352479,808.03173828125,41.938041721698546,34.28310443050565,2.2462301410267766,False,True,False
cosine_endpoints_K8,Cosine Endpoints-Dense K=8,cosine,8,0.007750474630544582,10.957686106363932,0.0,15.992998041032626,2313.079904,120.0127960205078,1.8605325638547325,808.03173828125,41.496331942330364,35.669831260913426,1.236737725641795,False,True,False
cosine_middle_K8,Cosine Middle-Dense K=8,cosine,8,0.008395543127941588,11.4157536705335,0.0,17.851349619165138,2313.079904,119.88719329833984,1.7767575054400642,808.03173828125,41.55756057968,46.96156994342989,-6.983283915648343,False,False,False
piecewise_early_K8,Piecewise Early-Dense K=8,piecewise,8,0.010043848550412803,12.659341760476432,0.0,13.223879471722025,2313.079904,118.92945022583008,0.6591555179513863,808.03173828125,42.02443981803279,75.81468271304172,-27.987419598669465,False,False,False
piecewise_late_K8,Piecewise Late-Dense K=8,piecewise,8,0.007746355949590602,10.785823357105256,0.0,16.838316148768843,2313.079904,118.08287124633789,0.3328638616100415,808.03173828125,42.43712894155215,35.59773493434243,1.2892215265279006,False,True,False
piecewise_middle_K8,Piecewise Middle-Dense K=8,piecewise,8,0.008298243310612938,11.393021309375765,0.11944405724589888,17.293392926175475,2313.079904,118.91400375366212,0.5711115604141852,808.03173828125,42.031969642437694,45.25836460079553,-5.743405348701618,False,False,False
piecewise_endpoints_K8,Piecewise Endpoints-Dense K=8,piecewise,8,0.008081566472537816,11.241617441177366,0.0,15.908388704054536,2313.079904,118.52164459228516,0.9274150448139834,808.03173828125,42.22323633147193,41.465498813718625,-2.9823213625343996,False,False,False
random_K8_s42,Random Monotonic K=8 (seed=42),random,8,0.007894666535624612,10.95338994661967,0.0,17.783919902601387,2313.079904,118.23030471801758,0.6770574773852005,808.03173828125,42.36525828130802,38.19386912490457,-0.6006804478382146,False,False,False
random_K8_s123,Random Monotonic K=8 (seed=123),random,8,0.011746931006200613,13.936335082848867,0.23888811449179775,15.392253388752925,2313.079904,118.71501770019532,0.6998085500350123,808.03173828125,42.128971082335305,105.62665171034158,-49.6895716956451,False,False,False
random_K8_s999,Random Monotonic K=8 (seed=999),random,8,0.008284023819336047,11.393055824438731,0.0,21.39943508341575,2313.079904,119.08035583496094,0.5214008628330175,808.03173828125,41.95087656513496,45.009456492052216,-5.5622082719635015,False,False,False
power_K10_g0.5,Power K=10 (gamma=0.5),power,10,0.0065576053108088676,10.02177654504776,0.0,15.270715018527335,2891.34988,148.85211639404298,1.1707784209224938,808.03173828125,27.437780837048386,14.788996597308618,-5.280635500338886,False,False,False
power_K10_g0.75,Power K=10 (gamma=0.75),power,10,0.006269871676340699,9.972380081812542,0.11944405724589888,13.218672845198148,2891.34988,149.01353912353517,1.4997413490957456,808.03173828125,27.359090713192263,9.752302007980889,-0.6611473707773947,False,False,False
power_K10_g1.25,Power K=10 (gamma=1.25),power,10,0.006342078497012456,10.16367309888204,0.0,15.378515044426063,2891.34988,148.31634216308595,0.7858925256341335,808.03173828125,27.69895930135487,11.016261654763952,-1.820408962085917,False,False,False
power_K10_g1.5,Power K=10 (gamma=1.5),power,10,0.006584484355213742,10.351900331179301,0.0,14.622786036525747,2891.34988,148.30379638671874,1.5679686197043008,808.03173828125,27.705075098673575,15.259506545756468,-5.712171517293518,False,False,False
power_K10_g2.0,Power K=10 (gamma=2.0),power,10,0.007332311869443706,10.885999818642933,0.11944405724589888,17.786156401799033,2891.34988,148.58084411621093,1.5756078838113494,808.03173828125,27.570020263357755,28.350012289495503,-17.718346364839793,False,False,False
cosine_late_K10,Cosine Late-Dense K=10,cosine,10,0.006956827361136675,10.61009341875712,0.0,17.03569667184464,2891.34988,148.94845428466797,1.238497684571352,808.03173828125,27.39081817838708,21.777263869374227,-11.690040942136584,False,False,False
cosine_early_K10,Cosine Early-Dense K=10,cosine,10,0.006350817077327519,9.928572988510131,0.0,14.617450627140812,2891.34988,149.12409362792968,1.6119038625320719,808.03173828125,27.3051977597586,11.169227992094099,-1.960704579973169,False,False,False
cosine_endpoints_K10,Cosine Endpoints-Dense K=10,cosine,10,0.0061596030563426515,9.996671382586161,0.0,13.46359503873004,2891.34988,149.00579681396485,1.2532132174034918,808.03173828125,27.36286492331086,7.822081501284287,1.1091864384264853,False,True,False
cosine_middle_K10,Cosine Middle-Dense K=10,cosine,10,0.0064975883617686735,10.221466890970866,0.0,17.15727516587421,2891.34988,151.03172760009767,1.7210770218771787,808.03173828125,26.37526704916855,13.738417150601128,-4.317079104938246,False,False,False
piecewise_early_K10,Piecewise Early-Dense K=10,piecewise,10,0.007548701002572973,11.040993765989938,0.0,12.744931747901896,2891.34988,149.12537994384766,0.7160633490160816,808.03173828125,27.304570708294268,32.13784188416901,-21.192417214097205,False,False,False
piecewise_late_K10,Piecewise Late-Dense K=10,piecewise,10,0.006404079461935908,9.970614631970722,0.0,13.499998168311109,2891.34988,149.14368286132813,1.155550373985375,808.03173828125,27.295648427968583,12.101570729388655,-2.8158182127793117,False,False,False
piecewise_middle_K10,Piecewise Middle-Dense K=10,piecewise,10,0.006256355158984661,10.074651932716367,0.0,15.358333356879996,2891.34988,149.46576385498048,1.328939013558893,808.03173828125,27.138640840735125,9.515699255718214,-0.44414322527789624,False,False,False
piecewise_endpoints_K10,Piecewise Endpoints-Dense K=10,piecewise,10,0.006441830191761255,10.23884152173996,0.0,11.138223056001152,2891.34988,151.49522399902344,1.1978214133118166,808.03173828125,26.149322480190712,12.762386407075912,-3.421896291321664,False,False,False
random_K10_s42,Random Monotonic K=10 (seed=42),random,10,0.006317116292969634,10.004785251617431,0.0,11.844000782302803,2891.34988,148.9005386352539,0.8126238370377353,808.03173828125,27.414176031391435,10.579305446037914,-1.4196473150277131,False,False,False
random_K10_s123,Random Monotonic K=10 (seed=123),random,10,0.006958300298235069,10.5565150141716,0.0,16.6520001959751,2891.34988,149.50039672851562,0.6497869562181277,808.03173828125,27.12175805652904,21.803047210024047,-11.713688561415433,False,False,False
random_K10_s999,Random Monotonic K=10 (seed=999),random,10,0.006522762853031358,10.293789410591126,0.0,13.152722495581788,2891.34988,149.4698715209961,1.5267052799564163,808.03173828125,27.136638441515725,14.17908938610882,-4.72124896770271,False,False,False
power_K12_g0.5,Power K=12 (gamma=0.5),power,12,0.006180081683366249,9.816728754838309,0.0,18.02747592756518,3469.6198560000003,179.07988739013672,1.115382251423219,808.03173828125,12.702389786109695,8.180553982672356,-6.537700333433635,False,False,False
power_K12_g0.75,Power K=12 (gamma=0.75),power,12,0.005865830151985089,9.719623907407126,0.0,14.383757269940508,3469.6198560000003,178.8968963623047,1.055864082803826,808.03173828125,12.791593993534272,2.67967122796423,-1.120355192232777,False,False,False
power_K12_g1.25,Power K=12 (gamma=1.25),power,12,0.005864398604414115,9.84349027077357,0.0,15.014457491073665,3469.6198560000003,179.70216064453126,1.1835835418205878,808.03173828125,12.399044900202334,2.6546123990983634,-1.095676912244988,False,False,False
power_K12_g1.5,Power K=12 (gamma=1.5),power,12,0.005996135657187551,9.951315446694693,0.0,17.786364353489486,3469.6198560000003,179.19637451171874,1.5324641191299482,808.03173828125,12.645604808840572,4.96063165244135,-3.366676450804705,False,False,False
