model_key,model_name,seed,training_mode,uniform_K12_absrel,uniform_K14_absrel,power_g075_K12_absrel,cosine_end_K12_absrel,sampled_moderate_K12_absrel,perturbed_cv04_K12_absrel,train_time_sec,final_loss
control1_pretrained,Pretrained DVLT,42,none,0.005800840138302494,0.005712747306097298,0.005865830151985089,0.0058699803155226014,0.00578750881444042,0.005823914310894907,0.0,0.0
control2_uniform_ft,Control 2 (Uniform FT),42,uniform,0.14221116211265325,0.2733016736805439,0.20224964537968235,0.13433326898763576,0.1338121447712183,0.12992440710465114,371.5472897999862,1.4703716039657593
treatment1_mild_ft,Treatment 1 (Mild Rand FT),42,mild,0.250293917953968,0.3671373546123505,0.31519121266901495,0.2301987192283074,0.24087670594453817,0.2357386637479067,373.4629825000011,1.4227266311645508
treatment2_mod_ft,Treatment 2 (Moderate Rand FT),42,moderate,0.1864023638268312,0.285660824428002,0.22490651893119015,0.17284935414791108,0.18122823660572368,0.1777733976642291,375.16821699999855,1.4672380685806274
control2_uniform_ft,Control 2 (Uniform FT),43,uniform,0.11815517743428547,0.21840196276704468,0.14703496855994067,0.11066302911688883,0.11261852681636808,0.1122895186766982,377.847488600004,1.5097930431365967
treatment1_mild_ft,Treatment 1 (Mild Rand FT),43,mild,0.26256577894091604,0.3194898369411628,0.3021923196812471,0.24013462712367378,0.2591868368287881,0.25091192945837976,384.16861389999394,1.7008464336395264
treatment2_mod_ft,Treatment 2 (Moderate Rand FT),43,moderate,0.2867774193485578,0.34601563264926277,0.32141830647985137,0.2639290864268939,0.28443760722875594,0.2733786920706431,395.641664499999,1.7011947631835938
control2_uniform_ft,Control 2 (Uniform FT),44,uniform,0.1655646500488122,0.28964109321435294,0.20578392979999388,0.1568043732394775,0.1638779701044162,0.15749128460884093,518.715425500006,1.8725464344024658
treatment1_mild_ft,Treatment 1 (Mild Rand FT),44,mild,0.14072218860189117,0.27360242096086346,0.18437505029141904,0.13681233959893385,0.13025679811835286,0.13033228293061255,577.8852625,1.8763165473937988
treatment2_mod_ft,Treatment 2 (Moderate Rand FT),44,moderate,0.19341100106636683,0.30346591845154763,0.24870380908250808,0.18576515230039756,0.18399190641939642,0.1835227488229672,9250.042678600003,1.8597328662872314
