rank,lora_lr,step,uniform_control_k12,mild_rand_k12,k12_treatment_diff,k12_treatment_gain,uniform_control_k14,mild_rand_k14,uniform_control_nonunif_mean,mild_rand_nonunif_mean,nonunif_treatment_diff,nonunif_treatment_gain,pre_k14_hurdle,rand_beats_pre_k14
4,3e-06,0,0.005800840138302494,0.005800840138302494,0.0,0.0,0.005712747306097298,0.005712747306097298,0.005843516516162911,0.005843516516162911,0.0,0.0,0.005712747306097298,False
4,3e-06,25,0.0058059929520823065,0.0058025208418257535,-3.472110256553043e-06,3.472110256553043e-06,0.0057179046639551714,0.005720671537953118,0.005847683587732414,0.005849085085921816,1.401498189401891e-06,-1.401498189401891e-06,0.005712747306097298,False
4,3e-06,50,0.005810940215208878,0.0058056634113503,-5.276803858578032e-06,5.276803858578032e-06,0.0057347467246775825,0.005746905583267411,0.005863488145405427,0.005854781929196584,-8.706216208843182e-06,8.706216208843182e-06,0.005712747306097298,False
4,3e-06,100,0.005846691888291389,0.005859464022796601,1.2772134505212827e-05,-1.2772134505212827e-05,0.005788157787173987,0.005777023682215563,0.00589117824112893,0.005891753760968438,5.755198395082997e-07,-5.755198395082997e-07,0.005712747306097298,False
4,3e-06,200,0.006047980176905792,0.006059912887091437,1.1932710185645623e-05,-1.1932710185645623e-05,0.006031257748448601,0.006025944607487569,0.006110662629362196,0.006118371822716048,7.709193353851868e-06,-7.709193353851868e-06,0.005712747306097298,False
8,1e-06,0,0.005800840138302494,0.005800840138302494,0.0,0.0,0.005712747306097298,0.005712747306097298,0.005843516516162911,0.005843516516162911,0.0,0.0,0.005712747306097298,False
8,1e-06,25,0.005800901694844166,0.0058140208905873205,1.3119195743154129e-05,-1.3119195743154129e-05,0.005734098306857049,0.005706588225439191,0.005849007249990892,0.005848085684960501,-9.215650303914802e-07,9.215650303914802e-07,0.005712747306097298,False
8,1e-06,50,0.005801894585601986,0.0057872440782375635,-1.4650507364422777e-05,1.4650507364422777e-05,0.005733426299411803,0.00573854361815999,0.005855371616134006,0.0058508381997752525,-4.5334163587531714e-06,4.5334163587531714e-06,0.005712747306097298,False
8,1e-06,100,0.005834397681367894,0.005825999887504925,-8.39779386296955e-06,8.39779386296955e-06,0.00574392817215994,0.005744559213053435,0.00586673013620182,0.005855285334271483,-1.144480193033745e-05,1.144480193033745e-05,0.005712747306097298,False
8,1e-06,200,0.005866552939793716,0.0058868966608618695,2.0343721068153894e-05,-2.0343721068153894e-05,0.005840796825941652,0.005833716364577413,0.005929610269635708,0.005928122613760126,-1.4876558755818128e-06,1.4876558755818128e-06,0.005712747306097298,False
