lr,step,train_loss,param_drift,gate_drift,k12_absrel,k12_rmse,k12_rot_deg,k12_trans_deg,k14_absrel,k14_rmse,k14_rot_deg,k14_trans_deg,delta_k12_pct,delta_k14_pct,within_5pct_calibration
1e-06,0,0.0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
1e-06,1,0.11996188759803772,1.595340836502146e-05,2.71234821411781e-05,0.005809521089152743,9.752830175558726,0.0,14.784078719956895,0.005722003298190733,9.685599799950918,0.0,14.410404743391169,0.14964988938290538,0.16202348182906334,True
1e-06,5,0.0691293329000473,5.296640665619634e-05,0.00010802485485328361,0.005809532136966785,9.744057345390319,0.0,17.417148307548224,0.005727670202031731,9.686981439590456,0.0,15.652635560724661,0.14984034134811505,0.26122100514590707,True
1e-06,10,0.14094358682632446,9.378392860526219e-05,0.00022400480520445853,0.005813882837537676,9.745923499266306,0.0,16.3937951052243,0.005713460384868085,9.67741400798162,0.0,15.34838190443908,0.22484155612325107,0.012482238975036843,True
1e-06,25,0.0627799853682518,0.00018389032629784197,0.0004457299946807325,0.005791298715242495,9.724655648072561,0.0,15.389678748278277,0.005731483867081503,9.68001883427302,0.0,14.223981330733173,-0.16448346847206066,0.32797811596194176,True
1e-06,50,0.055536288768053055,0.00032334186835214496,0.0007570219459012151,0.0058119705063290885,9.727281057834626,0.0,17.710818941453887,0.005723227409180253,9.673963701725006,0.0,16.031991901386522,0.19187510362682317,0.18345119294475257,True
1e-06,100,0.04897548258304596,0.0005198213621042669,0.001171354902908206,0.005812682001851499,9.71403036912282,0.0,19.507317951078395,0.005733240077582498,9.65887272755305,0.0,15.415962586859797,0.2041404911473815,0.3587200761239291,True
1e-06,200,0.06192810833454132,0.0010588237782940269,0.002512353705242276,0.0058530926976042485,9.690732506910962,0.0,16.012049493909977,0.00577594773688664,9.649448076883953,0.0,13.056991525559587,0.9007757162059109,1.106305379933175,True
3e-06,0,0.0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
3e-06,1,0.11996188759803772,4.786391946254298e-05,8.175307448254898e-05,0.005817963574857761,9.752852551142375,0.0,17.20500653616336,0.0057054481663120285,9.676874935626984,0.0,15.68792064347815,0.29518890621036104,-0.1277693444882353,True
3e-06,5,0.06913884729146957,0.00015882645675446838,0.0003225138352718204,0.00580755303769062,9.732522912820182,0.0,18.77824712348387,0.005723187785285215,9.682529048124948,0.0,16.920105684392105,0.11572288199774236,0.18275758804827727,True
3e-06,10,0.13594645261764526,0.0002816379419527948,0.0006669866852462292,0.005813234710755447,9.728516590595245,0.0,13.461688013895195,0.005722263370019694,9.668584962685902,0.0,14.350318180101699,0.21366857485198526,0.16657596446177014,True
3e-06,25,0.06046970188617706,0.0005513565265573561,0.0013309636851772666,0.005814498604740947,9.711608588695526,0.0,16.523151249275916,0.005732867024683704,9.65137152671814,0.0,13.776783837319385,0.23545669442374223,0.35218989232958814,True
3e-06,50,0.05776863172650337,0.0009552263072691858,0.002287772484123707,0.00584043732766683,9.698754982153574,0.0,13.515536812209637,0.005772147102591892,9.657264387607574,0.0,16.513851765738714,0.6826112842324066,1.0397763687393458,True
3e-06,100,0.047629065811634064,0.001512321992777288,0.0034272053744643927,0.005877405610711625,9.672029050191243,0.0,18.9703805369354,0.005817747709807008,9.64595722357432,0.0,17.85443775579623,1.3199031620191508,1.8380018944237453,True
