seq_id,scan,subset,sched_key,sched_name,family,K,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops
scan1_subset_middle,scan1,subset_middle,piecewise_late_K10,Piecewise Late-Dense K=10,piecewise,10,0.00426629950137188,7.778109590212504,0.0,10.157495120173541,2891.34988
scan1_subset_middle,scan1,subset_middle,piecewise_middle_K10,Piecewise Middle-Dense K=10,piecewise,10,0.0038583806017413735,7.506533185640971,0.0,16.341033747063904,2891.34988
scan1_subset_middle,scan1,subset_middle,piecewise_endpoints_K10,Piecewise Endpoints-Dense K=10,piecewise,10,0.004025930888019502,7.291013598442078,0.0,9.356895154727683,2891.34988
scan1_subset_middle,scan1,subset_middle,random_K10_s42,Random Monotonic K=10 (seed=42),random,10,0.0041553251988564925,7.713545163472493,0.0,10.86148129497068,2891.34988
scan1_subset_middle,scan1,subset_middle,random_K10_s123,Random Monotonic K=10 (seed=123),random,10,0.004371132973271112,7.337157567342122,0.0,20.061827909165334,2891.34988
scan1_subset_middle,scan1,subset_middle,random_K10_s999,Random Monotonic K=10 (seed=999),random,10,0.004015827551484108,7.319051384925842,0.0,9.697514180676132,2891.34988
scan1_subset_middle,scan1,subset_middle,power_K12_g0.5,Power K=12 (gamma=0.5),power,12,0.004200355537856619,7.8587736288706465,0.0,18.031041362795815,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,power_K12_g0.75,Power K=12 (gamma=0.75),power,12,0.004162613418884575,7.657781759897868,0.0,13.190675880224623,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,power_K12_g1.25,Power K=12 (gamma=1.25),power,12,0.0043029867035026355,7.316485047340393,0.0,2.6560452393895937,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,power_K12_g1.5,Power K=12 (gamma=1.5),power,12,0.0044332100078463554,7.260730504989624,0.0,7.8585588154447565,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,power_K12_g2.0,Power K=12 (gamma=2.0),power,12,0.004520803379515807,7.368715763092041,0.0,7.798911146949007,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,cosine_late_K12,Cosine Late-Dense K=12,cosine,12,0.0044974134070798755,7.320366382598877,0.0,20.403809397770644,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,cosine_early_K12,Cosine Early-Dense K=12,cosine,12,0.004253177049880226,7.741935928662618,0.0,10.670065705941795,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,cosine_endpoints_K12,Cosine Endpoints-Dense K=12,cosine,12,0.004455052975875636,7.420630733172099,0.0,22.413923736286886,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,cosine_middle_K12,Cosine Middle-Dense K=12,cosine,12,0.00391893550598373,7.527930498123169,0.0,13.093324607015049,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,piecewise_early_K12,Piecewise Early-Dense K=12,piecewise,12,0.004320169837834935,7.29195495446523,0.0,7.351040951049775,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,piecewise_late_K12,Piecewise Late-Dense K=12,piecewise,12,0.004090301614875595,7.699054678281148,0.0,24.102557630221977,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,piecewise_middle_K12,Piecewise Middle-Dense K=12,piecewise,12,0.004234712881346543,7.416398326555888,0.0,12.385734662550561,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,piecewise_endpoints_K12,Piecewise Endpoints-Dense K=12,piecewise,12,0.004461208047966163,7.413636883099874,0.0,17.67002918846775,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,random_K12_s42,Random Monotonic K=12 (seed=42),random,12,0.004293957259505987,7.752418756484985,0.0,11.128764312996438,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,random_K12_s123,Random Monotonic K=12 (seed=123),random,12,0.004638273812209566,7.370853066444397,0.0,20.071174907429317,3469.6198560000003
scan1_subset_middle,scan1,subset_middle,random_K12_s999,Random Monotonic K=12 (seed=999),random,12,0.004434792868172129,7.436872482299805,0.0,17.48792070157184,3469.6198560000003
scan1_subset_uniform,scan1,subset_uniform,uniform_K8,Uniform K=8,baseline,8,0.003690778937501212,6.073061029116313,0.0,19.79396316890831,2313.079904
scan1_subset_uniform,scan1,subset_uniform,uniform_K10,Uniform K=10,baseline,10,0.0033354321494698524,5.948920845985413,0.0,14.782840458020194,2891.34988
scan1_subset_uniform,scan1,subset_uniform,uniform_K12,Uniform K=12,baseline,12,0.003224855948550006,5.919878244400024,0.0,17.40836513939919,3469.6198560000003
