gate_lr,lora_lr,step,train_loss,lora_update_norm,k12_absrel,k12_rmse,k12_rot_deg,k12_trans_deg,k14_absrel,k14_rmse,k14_rot_deg,k14_trans_deg,delta_k12_pct,delta_k14_pct,within_5pct_calibration
1e-06,3e-06,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
1e-06,3e-06,10,0.14066854119300842,0.020385941344561814,0.00579932708836471,9.729104677836101,0.0,15.533106720420637,0.005701091893327732,9.673921215534211,0.0,15.524233020248593,-0.026083289690990122,-0.20402465127638508,True
1e-06,3e-06,25,0.06248363479971886,0.03847184830828472,0.005809051687053095,9.72464498281479,0.0,13.367584342445848,0.005711042361023526,9.668909601370492,0.0,12.51147118542646,0.14155792186687677,-0.02984457358988978,True
1e-06,3e-06,50,0.056011512875556946,0.06672527879638163,0.005824078413813065,9.716760683059693,0.0,17.057553767219183,0.005718796936950336,9.654240731398264,0.0,16.771608196437374,0.40060189483813763,0.1058970496836197,True
1e-06,3e-06,100,0.048538289964199066,0.10867186430201557,0.005815281699566792,9.683908931414285,0.0,14.167003641880921,0.005744282610248774,9.62764092683792,0.0,16.197243459177155,0.24895637390420647,0.5520164373071025,True
1e-06,3e-06,200,0.0643303170800209,0.21165766565023206,0.0059926268217774725,9.65524574915568,0.11944405724589888,18.780037758515736,0.005929690366610885,9.620891189575195,0.0,16.851916473915676,3.3061880503933514,3.7975259343615733,True
1e-06,1e-05,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
1e-06,1e-05,10,0.14019522070884705,0.0679812326697969,0.0057966640219092366,9.721878850460053,0.0,16.486363140039874,0.005705856260222693,9.657527112960816,0.0,14.268732497166042,-0.0719915786970777,-0.12062577785036291,True
1e-06,1e-05,25,0.0608418732881546,0.12803816836881282,0.005840396264102311,9.706763176123301,0.0,17.710235639074362,0.0057247704321828985,9.63632196187973,0.0,15.072453488204669,0.6819033942795691,0.21046136720886868,True
1e-06,1e-05,50,0.05856630951166153,0.21601054925456611,0.0058875259050788975,9.660286370913187,0.0,13.426863266770795,0.005828019825275987,9.622732774416603,0.0,17.517496495009834,1.4943657247856883,2.017812323952371,True
1e-06,1e-05,100,0.04725804179906845,0.3290048649616263,0.006001548942488929,9.633363918463388,0.0,14.119091347395642,0.005962855570639173,9.61902264356613,0.0,13.870621651437082,3.459995438611898,4.378073300650461,True
1e-06,1e-05,200,0.06712037324905396,0.577666535821192,0.006601299652053664,9.728381661574046,0.0,13.907977454113825,0.006505292813138416,9.707623084386189,0.0,15.485479733742565,13.799027290302284,13.873281357906771,False
1e-06,3e-05,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
1e-06,3e-05,10,0.1310853362083435,0.20299536896811743,0.005811219573176155,9.659462507565816,0.0,16.918017442543455,0.005750255325498681,9.624029676119486,0.0,13.24200867208126,0.1789298554381181,0.6565671014600959,True
1e-06,3e-05,25,0.05360858887434006,0.3704604768653853,0.006100299426664909,9.651660641034443,0.0,16.72993612197103,0.00603928971492375,9.629668013254802,0.0,14.9036560821738,5.162343405830279,5.716031032528401,False
1e-06,3e-05,50,0.06570756435394287,0.5999429657024745,0.006691394528994957,9.745379384358724,0.0,16.64192985844432,0.006610184698365629,9.733089609940846,0.0,17.693953099085142,15.352162263741793,15.709383667477866,False
1e-06,3e-05,100,0.052898108959198,0.8103091293409029,0.006351993275651088,9.625994793574016,0.0,21.273672453742574,0.00626547682331875,9.604721621672313,0.0,16.337523213036114,9.501264027418593,9.675371368719832,False
1e-06,3e-05,200,0.05773564428091049,1.2227621185000148,0.006401801047225793,9.605476168791453,0.0,14.850682752694372,0.00625066552311182,9.563987445831298,0.0,12.128661836404262,10.359894335911807,9.41610381471615,False
1e-06,0.0001,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
1e-06,0.0001,10,0.10349642485380173,0.652559892743838,0.006489875415960948,9.693386852741241,0.0,16.56826818034296,0.006468595230641463,9.690492951869965,0.0,16.388762992479425,11.878198006333731,13.230900721574667,False
1e-06,0.0001,25,0.05211993306875229,0.9861372772496515,0.0068977059291986135,9.771725257237751,0.0,12.204218038226655,0.006784415699075908,9.729046722253164,0.0,16.632335948841842,18.908740195296886,18.759247268556795,False
1e-06,0.0001,50,0.052754584699869156,1.3879373810416316,0.0071290040466313554,9.804976459344228,0.0,17.297377242322604,0.006953420874197038,9.752578882376353,0.0,18.30914549132296,22.89606120256786,21.71763429437095,False
1e-06,0.0001,100,0.06321845948696136,1.8945949897662013,0.0062749226383554445,9.529894880453744,0.0,18.619479152556014,0.006067766982596368,9.495480732123058,0.0,18.57769135929942,8.17265238741231,6.2145174200187645,False
1e-06,0.0001,200,0.04662531614303589,2.7653545096499177,0.006167346809525043,9.506082955996195,0.11944405724589888,16.844953472250864,0.0059972731435361006,9.503761335213978,0.0,16.358287980624816,6.31816534302564,4.9805430241089725,False
