scene,subset,view_idx,frame_id,tolerance,k_star,is_active_at_end,fixed16_abs_rel,fixed16_rmse,fixed16_rot_err,fixed16_trans_err,regime_b_abs_rel,regime_b_rmse,regime_b_rot_err,regime_b_trans_err,regime_b_active_deg_pct,regime_c_abs_rel,regime_c_rmse,regime_c_rot_err,regime_c_trans_err,regime_c_active_deg_pct,regime_d_abs_rel,regime_d_rmse,regime_d_rot_err,regime_d_trans_err,diff_b_vs_c_abs_rel,diff_c_vs_d_max_depth,fixed15_abs_rel,fixed14_abs_rel,fixed12_abs_rel,fixed8_abs_rel
scan1,subset_middle,0,24,2pct,8,0,0.004100610502064228,6.454098224639893,0.0,77.38654873024305,0.0036557468120008707,6.670477867126465,0.0,125.33703119448215,-10.848718497877696,0.0036557468120008707,6.670477867126465,0.0,125.33703119448215,-10.848718497877696,0.0036557468120008707,6.670477867126465,0.0,125.33703119448215,0.0,0.0,0.003995990846306086,0.0038232558872550726,0.0034969723783433437,0.0036557468120008707
scan1,subset_middle,1,0,2pct,10,0,0.006002626847475767,16.695423126220703,0.0,3.735859051450392,0.004234761465340853,16.70465087890625,0.0,0.4177784990633205,-29.451528923180348,0.004669161979109049,16.788450241088867,0.0,3.6616925885741622,-22.214688706286463,0.004669161979109049,16.788450241088867,0.0,3.6616925885741622,0.0004344005137681961,0.0,0.00565287284553051,0.005147624295204878,0.004210681188851595,0.009107130579650402
scan1,subset_middle,2,1,2pct,9,0,0.005082026124000549,9.103490829467773,0.0,0.0,0.004843836184591055,9.44672966003418,0.0,0.0,-4.686908992549458,0.004974254872649908,9.495002746582031,0.0,3.9448141749549457,-2.1206355245140727,0.004974254872649908,9.495002746582031,0.0,3.9448141749549457,0.00013041868805885315,0.0,0.004854938481003046,0.004542697686702013,0.0038376711308956146,0.006666087545454502
scan1,subset_middle,3,2,2pct,10,0,0.003950988873839378,3.4602019786834717,0.0,2.8612232327092286,0.003243819111958146,3.2538249492645264,0.0,1.7941690322177588,-17.898551083340287,0.0036326893605291843,3.48620343208313,0.0,4.618297294101237,-8.056198675165746,0.0036326893605291843,3.48620343208313,0.0,4.618297294101237,0.00038887024857103825,0.0,0.003861411940306425,0.003614779096096754,0.003119590925052762,0.006249202415347099
scan1,subset_middle,4,3,2pct,11,0,0.003305153688415885,3.6133203506469727,0.0,0.0,0.003135993145406246,3.5708019733428955,0.0,3.7057046200384316,-5.118084027454564,0.003364881034940481,3.6172568798065186,0.0,3.5262004184613267,1.807097404696564,0.003364881034940481,3.6172568798065186,0.0,3.5262004184613267,0.000228887889534235,0.0,0.003210446098819375,0.003101024543866515,0.002958528930321336,0.007507906295359135
scan1,subset_middle,5,4,2pct,12,0,0.0032369771506637335,4.738245487213135,0.0,0.8917516858318333,0.003079301444813609,4.131977558135986,0.0,0.0,-4.871078741405183,0.003168382914736867,4.113175392150879,0.0,0.0,-2.119083105446125,0.003168382914736867,4.113175392150879,0.0,0.0,8.908146992325783e-05,0.0,0.003121875459328294,0.0030462301801890135,0.003074467182159424,0.008883877657353878
scan1,subset_middle,0,24,5pct,8,0,0.004100610502064228,6.454098224639893,0.0,77.38654873024305,0.0036557468120008707,6.670477867126465,0.0,125.33703119448215,-10.848718497877696,0.0036557468120008707,6.670477867126465,0.0,125.33703119448215,-10.848718497877696,0.0036557468120008707,6.670477867126465,0.0,125.33703119448215,0.0,0.0,0.003995990846306086,0.0038232558872550726,0.0034969723783433437,0.0036557468120008707
scan1,subset_middle,1,0,5pct,10,0,0.006002626847475767,16.695423126220703,0.0,3.735859051450392,0.004234761465340853,16.70465087890625,0.0,0.4177784990633205,-29.451528923180348,0.004669161979109049,16.788450241088867,0.0,3.6616925885741622,-22.214688706286463,0.004669161979109049,16.788450241088867,0.0,3.6616925885741622,0.0004344005137681961,0.0,0.00565287284553051,0.005147624295204878,0.004210681188851595,0.009107130579650402
scan1,subset_middle,2,1,5pct,9,0,0.005082026124000549,9.103490829467773,0.0,0.0,0.004843836184591055,9.44672966003418,0.0,0.0,-4.686908992549458,0.004974254872649908,9.495002746582031,0.0,3.9448141749549457,-2.1206355245140727,0.004974254872649908,9.495002746582031,0.0,3.9448141749549457,0.00013041868805885315,0.0,0.004854938481003046,0.004542697686702013,0.0038376711308956146,0.006666087545454502
scan1,subset_middle,3,2,5pct,10,0,0.003950988873839378,3.4602019786834717,0.0,2.8612232327092286,0.003243819111958146,3.2538249492645264,0.0,1.7941690322177588,-17.898551083340287,0.0036326893605291843,3.48620343208313,0.0,4.618297294101237,-8.056198675165746,0.0036326893605291843,3.48620343208313,0.0,4.618297294101237,0.00038887024857103825,0.0,0.003861411940306425,0.003614779096096754,0.003119590925052762,0.006249202415347099
scan1,subset_middle,4,3,5pct,11,0,0.003305153688415885,3.6133203506469727,0.0,0.0,0.003135993145406246,3.5708019733428955,0.0,3.7057046200384316,-5.118084027454564,0.003364881034940481,3.6172568798065186,0.0,3.5262004184613267,1.807097404696564,0.003364881034940481,3.6172568798065186,0.0,3.5262004184613267,0.000228887889534235,0.0,0.003210446098819375,0.003101024543866515,0.002958528930321336,0.007507906295359135
scan1,subset_middle,5,4,5pct,12,0,0.0032369771506637335,4.738245487213135,0.0,0.8917516858318333,0.003079301444813609,4.131977558135986,0.0,0.0,-4.871078741405183,0.003168382914736867,4.113175392150879,0.0,0.0,-2.119083105446125,0.003168382914736867,4.113175392150879,0.0,0.0,8.908146992325783e-05,0.0,0.003121875459328294,0.0030462301801890135,0.003074467182159424,0.008883877657353878
scan1,subset_uniform,0,0,2pct,13,0,0.003913204185664654,16.524089813232422,0.0,97.05036965257545,0.004085991997271776,16.65852928161621,0.0,123.7372779474601,4.415507175426742,0.004224592819809914,16.64440155029297,0.0,44.41224298359197,7.957382732186023,0.004224592819809914,16.64440155029297,0.0,44.41224298359197,0.00013860082253813744,0.0151519775390625,0.0038654429372400045,0.003800271777436137,0.004125028848648071,0.009752378799021244
scan1,subset_uniform,1,8,2pct,13,0,0.002798883244395256,3.2354423999786377,0.0,0.0,0.0030553999822586775,3.214204788208008,0.0,3.770397610535854,9.164967433961184,0.002757432870566845,3.036618232727051,0.0,2.113592220263514,-1.4809611623284102,0.002757432870566845,3.036618232727051,0.0,2.113592220263514,-0.00029796711169183254,0.0151519775390625,0.0027534596156328917,0.00271438411436975,0.002861228073015809,0.00643025292083621
scan1,subset_uniform,2,16,2pct,13,0,0.0026719924062490463,2.6096160411834717,0.0,3.199532961027127,0.00290064699947834,2.8595120906829834,0.0,2.5052252354317015,8.55745670139385,0.00262048258446157,2.511977195739746,0.0,3.024721312853232,-1.927768270112198,0.00262048258446157,2.511977195739746,0.0,3.024721312853232,-0.00028016441501677036,0.0151519775390625,0.002677249489352107,0.002674191491678357,0.0027481396682560444,0.004358433187007904
scan1,subset_uniform,3,24,2pct,9,0,0.0035596389789134264,6.288510322570801,0.0,3.737430848733141,0.003247557207942009,6.317085266113281,0.0,1.5074006584287174,-8.767230969773228,0.003206634894013405,6.305484771728516,0.0,0.0,-9.916850753437233,0.003206634894013405,6.305484771728516,0.0,0.0,-4.0922313928604126e-05,0.0151519775390625,0.003478330560028553,0.003305274061858654,0.002964656101539731,0.003684020135551691
scan1,subset_uniform,4,32,2pct,8,0,0.0036821523681282997,4.442047119140625,0.0,0.9640834425031212,0.00350568606518209,4.725595951080322,7.166643434753933,1.8002671104861108,-4.792476934785583,0.00350568606518209,4.725595951080322,0.0,2.832343058464299,-4.792476934785583,0.00350568606518209,4.725595951080322,0.0,2.832343058464299,0.0,0.0151519775390625,0.003557096002623439,0.0033761102240532637,0.0029483316466212273,0.00350568606518209
scan1,subset_uniform,5,40,2pct,15,0,0.0026711286045610905,2.5461814403533936,0.0,0.0,0.0031885255593806505,2.922671318054199,0.0,0.0,19.36997544543823,0.002622956642881036,2.4388086795806885,0.0,0.0,-1.8034310140589465,0.0026191971264779568,2.4374351501464844,0.0,0.0,-0.0005655689164996147,0.0151519775390625,0.0026940188836306334,0.002747807651758194,0.002992873778566718,0.005434703081846237
scan1,subset_uniform,0,0,5pct,13,0,0.003913204185664654,16.524089813232422,0.0,97.05036965257545,0.00418894924223423,16.67481803894043,0.0,77.72305849027124,7.046528713725713,0.00436963839456439,16.645063400268555,0.0,128.36885654440243,11.663950748386812,0.00436963839456439,16.645063400268555,0.0,128.36885654440243,0.00018068915233016014,0.0,0.0038654429372400045,0.003800271777436137,0.004125028848648071,0.009752378799021244
scan1,subset_uniform,1,8,5pct,12,0,0.002798883244395256,3.2354423999786377,0.0,0.0,0.003141910070553422,3.254486560821533,0.0,1.5369697212844662,12.25584621455985,0.0028564431704580784,3.0569286346435547,0.0,2.085909463557452,2.0565318749213883,0.0028564431704580784,3.0569286346435547,0.0,2.085909463557452,-0.0002854669000953436,0.0,0.0027534596156328917,0.00271438411436975,0.002861228073015809,0.00643025292083621
scan1,subset_uniform,2,16,5pct,12,0,0.0026719924062490463,2.6096160411834717,0.0,3.199532961027127,0.002926230663433671,2.8993377685546875,0.0,0.0,9.514931875930193,0.0026568828616291285,2.5503156185150146,0.0,2.5299485992364437,-0.5654785763829587,0.0026568828616291285,2.5503156185150146,0.0,2.5299485992364437,-0.00026934780180454254,0.0,0.002677249489352107,0.002674191491678357,0.0027481396682560444,0.004358433187007904
scan1,subset_uniform,3,24,5pct,8,0,0.0035596389789134264,6.288510322570801,0.0,3.737430848733141,0.003684020135551691,6.678746700286865,0.0,2.780378125485196,3.494207063555411,0.003684020135551691,6.678746700286865,0.0,3.537232668074778,3.494207063555411,0.003684020135551691,6.678746700286865,0.0,3.537232668074778,0.0,0.0,0.003478330560028553,0.003305274061858654,0.002964656101539731,0.003684020135551691
scan1,subset_uniform,4,32,5pct,8,0,0.0036821523681282997,4.442047119140625,0.0,0.9640834425031212,0.00350568606518209,4.725595951080322,7.166643434753933,1.8002671104861108,-4.792476934785583,0.00350568606518209,4.725595951080322,0.0,0.0,-4.792476934785583,0.00350568606518209,4.725595951080322,0.0,0.0,0.0,0.0,0.003557096002623439,0.0033761102240532637,0.0029483316466212273,0.00350568606518209
scan1,subset_uniform,5,40,5pct,14,0,0.0026711286045610905,2.5461814403533936,0.0,0.0,0.0031958657782524824,2.970769166946411,0.0,0.0,19.644773853096254,0.002661527367308736,2.4776670932769775,0.0,0.0,-0.3594449640485303,0.002661527367308736,2.4776670932769775,0.0,0.0,-0.0005343384109437466,0.0,0.0026940188836306334,0.002747807651758194,0.002992873778566718,0.005434703081846237
scan4,subset_middle,0,24,2pct,12,0,0.006279202178120613,11.19367504119873,0.0,96.61145486632125,0.005660756025463343,11.334656715393066,0.0,119.30419830817668,-9.849119921830157,0.005660756025463343,11.334656715393066,0.0,119.30419830817668,-9.849119921830157,0.005660756025463343,11.334656715393066,0.0,119.30419830817668,0.0,0.023186326026916504,0.006226667668670416,0.006028252653777599,0.005660756025463343,0.016729071736335754
scan4,subset_middle,1,0,2pct,13,0,0.010012357495725155,25.612319946289062,0.0,2.9125535984257556,0.010063082911074162,25.942502975463867,0.0,0.0,0.5066280880468383,0.01019267737865448,26.003541946411133,0.0,0.0,1.8009732773356717,0.01019267737865448,26.003541946411133,0.0,0.0,0.00012959446758031845,0.023186326026916504,0.010007579810917377,0.00996373314410448,0.010839753784239292,0.026575421914458275
scan4,subset_middle,2,1,2pct,13,0,0.008321625180542469,22.83893394470215,0.0,0.0,0.00830003246665001,23.11394691467285,0.0,0.0,-0.25947712645058457,0.008386512286961079,23.171009063720703,0.0,4.932447576107742,0.7797407959484636,0.008386512286961079,23.171009063720703,0.0,4.932447576107742,8.647982031106949e-05,0.023186326026916504,0.008295979350805283,0.0082081975415349,0.009011084213852882,0.02405153587460518
scan4,subset_middle,3,2,2pct,13,0,0.0073970830999314785,18.99765968322754,0.0,2.6516608626987783,0.007249865680932999,19.260940551757812,0.0,4.062836001831358,-1.9902090730850863,0.0073335980996489525,19.315460205078125,0.0,2.624578949196266,-0.8582437080247767,0.0073335980996489525,19.315460205078125,0.0,2.624578949196266,8.373241871595383e-05,0.023186326026916504,0.007341785356402397,0.007264502812176943,0.007890617474913597,0.020896678790450096
scan4,subset_middle,4,3,2pct,13,0,0.0073531209491193295,19.99932861328125,0.0,0.0,0.007309392094612122,20.27208137512207,0.0,0.0,-0.5946978814818108,0.0074167801067233086,20.323715209960938,0.0,2.9998961365411745,0.8657433767848394,0.0074167801067233086,20.323715209960938,0.0,2.9998961365411745,0.00010738801211118698,0.023186326026916504,0.007362303789705038,0.007339136209338903,0.007825121283531189,0.02031058259308338
scan4,subset_middle,5,4,2pct,15,0,0.006704268045723438,18.50800895690918,0.0,0.0,0.006704268977046013,18.410991668701172,0.0,1.89227488124806,1.3891487754723e-05,0.006994958035647869,18.731616973876953,0.0,0.0,4.335894506930671,0.007003882434219122,18.73381233215332,0.0,0.0,0.00029068905860185623,0.023186326026916504,0.006735908333212137,0.006857297383248806,0.008164900355041027,0.022542649880051613
scan4,subset_middle,0,24,5pct,11,0,0.006279202178120613,11.19367504119873,0.0,96.61145486632125,0.006562517490237951,11.969585418701172,0.0,52.568540701719385,4.51196352785913,0.006562517490237951,11.969585418701172,0.0,52.568540701719385,4.51196352785913,0.006562517490237951,11.969585418701172,0.0,52.568540701719385,0.0,0.0,0.006226667668670416,0.006028252653777599,0.005660756025463343,0.016729071736335754
