rank,lora_lr,step,schedule_key,schedule_name,pretrained_absrel,uniform_control_absrel,mild_rand_absrel,diff_rand_minus_unif,gain_unif_minus_rand
4,3e-06,0,power_g075,Power gamma=0.75,0.005865830151985089,0.005865830151985089,0.005865830151985089,0.0,0.0
4,3e-06,0,power_g125,Power gamma=1.25,0.005864398604414115,0.005864398604414115,0.005864398604414115,0.0,0.0
4,3e-06,0,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.0058699803155226014,0.0058699803155226014,0.0,0.0
4,3e-06,0,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.0058219680019343896,0.0058219680019343896,0.0,0.0
4,3e-06,0,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005811317785022159,0.005811317785022159,0.0,0.0
4,3e-06,0,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005827604238099108,0.005827604238099108,0.0,0.0
4,3e-06,25,power_g075,Power gamma=0.75,0.005865830151985089,0.005863681299767146,0.005871617790156354,7.936490389208462e-06,-7.936490389208462e-06
4,3e-06,25,power_g125,Power gamma=1.25,0.005864398604414115,0.005863100030304243,0.005846683366689831,-1.6416663614411686e-05,1.6416663614411686e-05
4,3e-06,25,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.005896768299862742,0.005885900200034181,-1.0868099828561031e-05,1.0868099828561031e-05
4,3e-06,25,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.005845829041209072,0.0058285408032437164,-1.7288237965355606e-05,1.7288237965355606e-05
4,3e-06,25,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005803478392772376,0.00582990594751512,2.6427554742743803e-05,-2.6427554742743803e-05
4,3e-06,25,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005813244462478906,0.0058318624078917015,1.861794541279521e-05,-1.861794541279521e-05
4,3e-06,50,power_g075,Power gamma=0.75,0.005865830151985089,0.005914909796168407,0.005912872687137375,-2.0371090310314713e-06,2.0371090310314713e-06
4,3e-06,50,power_g125,Power gamma=1.25,0.005864398604414115,0.005839882352544616,0.00581523661967367,-2.4645732870946443e-05,2.4645732870946443e-05
4,3e-06,50,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.0058952821573863435,0.005870769704536845,-2.4512452849498323e-05,2.4512452849498323e-05
4,3e-06,50,best_random_v0,Best Random (V0 seed=999),0.0058219680019343896,0.0058520261547528206,0.005846676036405067,-5.350118347753792e-06,5.350118347753792e-06
4,3e-06,50,sampled_mild,Sampled Mild (sigma=0.2),0.005811317785022159,0.005837013005899887,0.005838535920095941,1.5229141960542564e-06,-1.5229141960542564e-06
4,3e-06,50,sampled_moderate,Sampled Moderate (sigma=0.5),0.005827604238099108,0.005841815405680488,0.0058446006073306,2.785201650112347e-06,-2.785201650112347e-06
4,3e-06,100,power_g075,Power gamma=0.75,0.005865830151985089,0.005956698414714386,0.005957155616488308,4.572017739219378e-07,-4.572017739219378e-07
4,3e-06,100,power_g125,Power gamma=1.25,0.005864398604414115,0.005858373145262401,0.0058513814311785,-6.9917140839009795e-06,6.9917140839009795e-06
4,3e-06,100,cosine_endpoints,Cosine endpoints-dense,0.0058699803155226014,0.005934537151673187,0.005933888074165831,-6.490775073565713e-07,6.490775073565713e-07
