rank,gate_lr,lora_lr,step,train_loss,lora_update_norm,k12_absrel,k12_rmse,k12_rot_deg,k12_trans_deg,k14_absrel,k14_rmse,k14_rot_deg,k14_trans_deg,delta_k12_pct,delta_k14_pct,within_5pct_calibration
8,1e-06,5e-07,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
8,1e-06,5e-07,25,0.10168997943401337,0.006433419041722208,0.005813204066362232,9.737347356478372,0.0,15.244866510234564,0.0057071594987064605,9.663536282380422,0.0,17.519411693393316,0.21314029976623547,-0.0978129626856394,True
8,1e-06,5e-07,50,0.06646239757537842,0.011464431300235929,0.00580038462067023,9.727482016881307,0.0,15.11544241069212,0.00572749936254695,9.672006758054097,0.0,17.24636498821993,-0.007852614817920277,0.25823050905659667,True
8,1e-06,5e-07,100,0.17871980369091034,0.019706952992452925,0.005822745675686747,9.715548308690389,0.0,17.740460083038034,0.005739650743392606,9.660488843917848,0.0,16.13220017869289,0.37762697923033617,0.4709369389854365,True
8,1e-06,5e-07,200,0.06304500252008438,0.03974503987686845,0.005867220635991543,9.689439678192137,0.0,17.709427155451998,0.0057803860904338455,9.651668055852253,0.0,18.13552745872716,1.1443255822676988,1.1839974833886897,True
8,1e-06,1e-06,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
8,1e-06,1e-06,25,0.101242795586586,0.012804974186701875,0.005812823182592789,9.741655480861663,0.0,13.042506311830845,0.00571955069511508,9.67407885392507,0.0,16.72043356703805,0.2065742893201202,0.11909136976040777,True
8,1e-06,1e-06,50,0.06639888882637024,0.022845425757986034,0.005806477926671506,9.724811585744224,0.0,16.5521883746868,0.005728290354212125,9.66421540180842,0.0,17.32371117095907,0.09718916975122045,0.27207659085914254,True
8,1e-06,1e-06,100,0.17827239632606506,0.039340925274922965,0.0058247445539260905,9.7035724401474,0.0,18.263994008436654,0.005738558620214463,9.654776048660278,0.0,21.07768048144461,0.4120854057976405,0.45181963658038043,True
8,1e-06,1e-06,200,0.06440949440002441,0.07864489325541227,0.005889779476759334,9.673193109035491,0.0,16.996216562497473,0.005832931182036797,9.641337668895721,0.0,14.503630343107565,1.5332147815896526,2.10378421274164,True
8,1e-06,3e-06,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
8,1e-06,3e-06,25,0.10020242631435394,0.0384830937759408,0.005802627447216461,9.717206633090973,0.0,16.249533696146074,0.005718189474040021,9.666244037946065,0.0,16.154142182745897,0.03081120788289758,0.09526358599677937,True
8,1e-06,3e-06,50,0.06740845739841461,0.06847596319887778,0.00581036862373973,9.698132634162903,0.0,15.678607198518467,0.005733957098952184,9.646030286947886,0.0,15.994873221444488,0.16426043831685122,0.37127132915975214,True
8,1e-06,3e-06,100,0.17085859179496765,0.11467564648598522,0.005856645029659073,9.672134176890056,0.0,16.928027796694824,0.005790719207531462,9.631468772888185,0.0,18.10896133834347,0.9620139501535832,1.3648757288974316,True
8,1e-06,3e-06,200,0.06743858754634857,0.218204491459517,0.006146412284579128,9.654707213242848,0.11944405724589888,16.95352883467715,0.006115391307199994,9.644348263740541,0.11944405724589888,15.341968089114829,5.957277532867143,7.048167537061337,False
8,1e-06,1e-05,0,0.0,0.0,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,0.0,True
8,1e-06,1e-05,25,0.09269698709249496,0.12726325501908475,0.005822834539382408,9.662990204493205,0.0,13.28468179036707,0.005764817632734775,9.621199576059977,0.0,17.370576813659234,0.3791588900146854,0.9114761050589724,True
8,1e-06,1e-05,50,0.07333394140005112,0.21994371003419505,0.0060158835180724665,9.638156453768413,0.0,15.004534108442403,0.005954090183756004,9.61439137061437,0.0,16.69370211071972,3.707107498964807,4.2246377220486675,True
8,1e-06,1e-05,100,0.14309866726398468,0.3304207781941317,0.006180990541664263,9.6374080936114,0.0,12.871757354223778,0.006143100617919117,9.6261736035347,0.0,16.4633300388357,6.553368034600111,7.533211058757956,False
8,1e-06,1e-05,200,0.06859864294528961,0.546080743878878,0.006705742127572497,9.72766684293747,0.11944405724589888,21.818729345974873,0.006551455388156077,9.690252689520516,0.0,16.669371729141528,15.599498825954628,14.681343968489792,False
