step_idx,t_now,t_next,t_mid,delta_t,frame_residual_norm,global_residual_norm,hidden_change_norm,seq_id,sched_key,K
0,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,19.384220123291016,5.240767478942871,20.802030563354492,scan1_subset_middle,uniform_K8,8
1,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.14285714285714285,4.389588832855225,4.311295032501221,5.08165168762207,scan1_subset_middle,uniform_K8,8
2,0.2857142857142857,0.42857142857142855,0.3571428571428571,0.14285714285714285,3.952503204345703,4.109676361083984,3.9038097858428955,scan1_subset_middle,uniform_K8,8
3,0.42857142857142855,0.5714285714285714,0.5,0.14285714285714285,3.347111225128174,3.6739227771759033,2.9988276958465576,scan1_subset_middle,uniform_K8,8
4,0.5714285714285714,0.7142857142857142,0.6428571428571428,0.1428571428571428,2.9570865631103516,3.3438758850097656,2.455578088760376,scan1_subset_middle,uniform_K8,8
5,0.7142857142857142,0.8571428571428571,0.7857142857142856,0.1428571428571429,2.818870782852173,3.1716606616973877,2.22880220413208,scan1_subset_middle,uniform_K8,8
6,0.8571428571428571,1.0,0.9285714285714286,0.1428571428571429,2.763559103012085,3.1327497959136963,2.2121829986572266,scan1_subset_middle,uniform_K8,8
7,1.0,1.0,1.0,0.0,2.7083280086517334,3.0442280769348145,2.1467339992523193,scan1_subset_middle,uniform_K8,8
0,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,19.627046585083008,5.216716766357422,20.958702087402344,scan1_subset_middle,uniform_K10,10
1,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.1111111111111111,4.3548431396484375,4.220458030700684,4.994438648223877,scan1_subset_middle,uniform_K10,10
2,0.2222222222222222,0.3333333333333333,0.2777777777777778,0.1111111111111111,3.881603956222534,4.046749114990234,3.7988386154174805,scan1_subset_middle,uniform_K10,10
3,0.3333333333333333,0.4444444444444444,0.38888888888888884,0.1111111111111111,3.297283411026001,3.611660957336426,2.821951150894165,scan1_subset_middle,uniform_K10,10
4,0.4444444444444444,0.5555555555555556,0.5,0.11111111111111116,2.8929741382598877,3.233659267425537,2.193580389022827,scan1_subset_middle,uniform_K10,10
5,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.11111111111111105,2.698523759841919,3.0349032878875732,1.9105596542358398,scan1_subset_middle,uniform_K10,10
6,0.6666666666666666,0.7777777777777777,0.7222222222222221,0.11111111111111105,2.5744872093200684,2.9073517322540283,1.8036452531814575,scan1_subset_middle,uniform_K10,10
7,0.7777777777777777,0.8888888888888888,0.8333333333333333,0.11111111111111116,2.4682445526123047,2.8034653663635254,1.7075599431991577,scan1_subset_middle,uniform_K10,10
8,0.8888888888888888,1.0,0.9444444444444444,0.11111111111111116,2.5126333236694336,2.8276891708374023,1.786875605583191,scan1_subset_middle,uniform_K10,10
9,1.0,1.0,1.0,0.0,2.5360054969787598,2.848909616470337,1.8678920269012451,scan1_subset_middle,uniform_K10,10
0,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,19.807214736938477,5.2071852684021,21.075334548950195,scan1_subset_middle,uniform_K12,12
1,0.09090909090909091,0.18181818181818182,0.13636363636363635,0.09090909090909091,4.354219913482666,4.174817085266113,4.962714195251465,scan1_subset_middle,uniform_K12,12
2,0.18181818181818182,0.2727272727272727,0.22727272727272727,0.09090909090909088,3.8547167778015137,4.0127363204956055,3.7390031814575195,scan1_subset_middle,uniform_K12,12
3,0.2727272727272727,0.36363636363636365,0.3181818181818182,0.09090909090909094,3.291705369949341,3.581573486328125,2.7163612842559814,scan1_subset_middle,uniform_K12,12
4,0.36363636363636365,0.4545454545454546,0.4090909090909091,0.09090909090909094,2.8946335315704346,3.215623617172241,2.056290864944458,scan1_subset_middle,uniform_K12,12
5,0.4545454545454546,0.5454545454545454,0.5,0.09090909090909083,2.692586898803711,2.9905588626861572,1.7163056135177612,scan1_subset_middle,uniform_K12,12
6,0.5454545454545454,0.6363636363636364,0.5909090909090908,0.09090909090909094,2.5377306938171387,2.8252689838409424,1.5515269041061401,scan1_subset_middle,uniform_K12,12
7,0.6363636363636364,0.7272727272727273,0.6818181818181819,0.09090909090909094,2.3908839225769043,2.6868865489959717,1.4203640222549438,scan1_subset_middle,uniform_K12,12
8,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.09090909090909094,2.3530991077423096,2.6479859352111816,1.4434586763381958,scan1_subset_middle,uniform_K12,12
9,0.8181818181818182,0.9090909090909092,0.8636363636363638,0.09090909090909094,2.3544719219207764,2.652308464050293,1.5001044273376465,scan1_subset_middle,uniform_K12,12
10,0.9090909090909092,1.0,0.9545454545454546,0.09090909090909083,2.387539863586426,2.687427043914795,1.5930286645889282,scan1_subset_middle,uniform_K12,12
11,1.0,1.0,1.0,0.0,2.4430134296417236,2.7367537021636963,1.7149776220321655,scan1_subset_middle,uniform_K12,12
0,0.0,0.08333333333333333,0.041666666666666664,0.08333333333333333,19.812637329101562,5.200933456420898,21.076984405517578,scan1_subset_middle,uniform_K13,13
1,0.08333333333333333,0.16666666666666666,0.125,0.08333333333333333,4.364198684692383,4.16278076171875,4.963509559631348,scan1_subset_middle,uniform_K13,13
2,0.16666666666666666,0.25,0.20833333333333331,0.08333333333333334,3.8525753021240234,4.003512859344482,3.726982831954956,scan1_subset_middle,uniform_K13,13
3,0.25,0.3333333333333333,0.29166666666666663,0.08333333333333331,3.299808979034424,3.577155828475952,2.6888396739959717,scan1_subset_middle,uniform_K13,13
4,0.3333333333333333,0.41666666666666663,0.375,0.08333333333333331,2.9100329875946045,3.202775001525879,2.0036251544952393,scan1_subset_middle,uniform_K13,13
5,0.41666666666666663,0.5,0.4583333333333333,0.08333333333333337,2.7014994621276855,2.9981813430786133,1.6592167615890503,scan1_subset_middle,uniform_K13,13
6,0.5,0.5833333333333333,0.5416666666666666,0.08333333333333326,2.537599563598633,2.807025194168091,1.4599400758743286,scan1_subset_middle,uniform_K13,13
7,0.5833333333333333,0.6666666666666666,0.625,0.08333333333333337,2.3928580284118652,2.662707567214966,1.3194105625152588,scan1_subset_middle,uniform_K13,13
8,0.6666666666666666,0.75,0.7083333333333333,0.08333333333333337,2.3274409770965576,2.599451780319214,1.311476230621338,scan1_subset_middle,uniform_K13,13
9,0.75,0.8333333333333333,0.7916666666666666,0.08333333333333326,2.298917770385742,2.566472291946411,1.3187587261199951,scan1_subset_middle,uniform_K13,13
10,0.8333333333333333,0.9166666666666666,0.875,0.08333333333333337,2.302772045135498,2.594864845275879,1.4163646697998047,scan1_subset_middle,uniform_K13,13
11,0.9166666666666666,1.0,0.9583333333333333,0.08333333333333337,2.3551981449127197,2.647048234939575,1.5280429124832153,scan1_subset_middle,uniform_K13,13
12,1.0,1.0,1.0,0.0,2.415323495864868,2.696956157684326,1.6650474071502686,scan1_subset_middle,uniform_K13,13
0,0.0,0.07692307692307693,0.038461538461538464,0.07692307692307693,19.869449615478516,5.191450595855713,21.111669540405273,scan1_subset_middle,uniform_K14,14
1,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.07692307692307693,4.350496292114258,4.133105754852295,4.932725429534912,scan1_subset_middle,uniform_K14,14
2,0.15384615384615385,0.23076923076923078,0.19230769230769232,0.07692307692307693,3.8421170711517334,3.9954376220703125,3.712120532989502,scan1_subset_middle,uniform_K14,14
3,0.23076923076923078,0.3076923076923077,0.2692307692307693,0.07692307692307693,3.30659818649292,3.570580005645752,2.6601719856262207,scan1_subset_middle,uniform_K14,14
4,0.3076923076923077,0.38461538461538464,0.34615384615384615,0.07692307692307693,2.9266505241394043,3.209430694580078,1.9634530544281006,scan1_subset_middle,uniform_K14,14
5,0.38461538461538464,0.46153846153846156,0.42307692307692313,0.07692307692307693,2.7187623977661133,2.992088794708252,1.6100645065307617,scan1_subset_middle,uniform_K14,14
6,0.46153846153846156,0.5384615384615385,0.5,0.07692307692307698,2.5504133701324463,2.7963626384735107,1.389244794845581,scan1_subset_middle,uniform_K14,14
7,0.5384615384615385,0.6153846153846154,0.576923076923077,0.07692307692307687,2.389209270477295,2.6482059955596924,1.2418549060821533,scan1_subset_middle,uniform_K14,14
8,0.6153846153846154,0.6923076923076923,0.6538461538461539,0.07692307692307687,2.323685884475708,2.5670418739318848,1.195603370666504,scan1_subset_middle,uniform_K14,14
9,0.6923076923076923,0.7692307692307693,0.7307692307692308,0.07692307692307698,2.271670341491699,2.5342628955841064,1.2324639558792114,scan1_subset_middle,uniform_K14,14
10,0.7692307692307693,0.8461538461538463,0.8076923076923077,0.07692307692307698,2.2695446014404297,2.5257139205932617,1.2710758447647095,scan1_subset_middle,uniform_K14,14
11,0.8461538461538463,0.9230769230769231,0.8846153846153847,0.07692307692307687,2.2884514331817627,2.558702230453491,1.3740826845169067,scan1_subset_middle,uniform_K14,14
12,0.9230769230769231,1.0,0.9615384615384616,0.07692307692307687,2.3426241874694824,2.637557029724121,1.5056711435317993,scan1_subset_middle,uniform_K14,14
13,1.0,1.0,1.0,0.0,2.3928141593933105,2.6770389080047607,1.6323000192642212,scan1_subset_middle,uniform_K14,14
0,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,19.9836368560791,5.180604934692383,21.18338966369629,scan1_subset_middle,uniform_K16,16
1,0.06666666666666667,0.13333333333333333,0.1,0.06666666666666667,4.353023052215576,4.098836898803711,4.908501148223877,scan1_subset_middle,uniform_K16,16
2,0.13333333333333333,0.2,0.16666666666666669,0.06666666666666668,3.8440284729003906,3.9904837608337402,3.6984922885894775,scan1_subset_middle,uniform_K16,16
3,0.2,0.26666666666666666,0.23333333333333334,0.06666666666666665,3.3261947631835938,3.5732944011688232,2.6300041675567627,scan1_subset_middle,uniform_K16,16
4,0.26666666666666666,0.3333333333333333,0.3,0.06666666666666665,2.961895704269409,3.212904453277588,1.9058678150177002,scan1_subset_middle,uniform_K16,16
5,0.3333333333333333,0.4,0.3666666666666667,0.06666666666666671,2.7567503452301025,3.001919746398926,1.5250238180160522,scan1_subset_middle,uniform_K16,16
6,0.4,0.4666666666666667,0.43333333333333335,0.06666666666666665,2.5918195247650146,2.821380376815796,1.3107975721359253,scan1_subset_middle,uniform_K16,16
7,0.4666666666666667,0.5333333333333333,0.5,0.06666666666666665,2.436591386795044,2.6478586196899414,1.120742678642273,scan1_subset_middle,uniform_K16,16
8,0.5333333333333333,0.6,0.5666666666666667,0.06666666666666665,2.339378595352173,2.5508487224578857,1.0596039295196533,scan1_subset_middle,uniform_K16,16
9,0.6,0.6666666666666666,0.6333333333333333,0.06666666666666665,2.272651433944702,2.4954464435577393,1.0487936735153198,scan1_subset_middle,uniform_K16,16
10,0.6666666666666666,0.7333333333333333,0.7,0.06666666666666665,2.220089912414551,2.457495927810669,1.0706313848495483,scan1_subset_middle,uniform_K16,16
11,0.7333333333333333,0.8,0.7666666666666666,0.06666666666666676,2.207608222961426,2.449246644973755,1.148753046989441,scan1_subset_middle,uniform_K16,16
12,0.8,0.8666666666666667,0.8333333333333334,0.06666666666666665,2.2176778316497803,2.4557151794433594,1.1984504461288452,scan1_subset_middle,uniform_K16,16
13,0.8666666666666667,0.9333333333333333,0.9,0.06666666666666665,2.241225004196167,2.498476505279541,1.311521291732788,scan1_subset_middle,uniform_K16,16
14,0.9333333333333333,1.0,0.9666666666666667,0.06666666666666665,2.3053677082061768,2.5877139568328857,1.4485301971435547,scan1_subset_middle,uniform_K16,16
15,1.0,1.0,1.0,0.0,2.3549227714538574,2.629814863204956,1.5768705606460571,scan1_subset_middle,uniform_K16,16
0,0.0,0.3779644730092272,0.1889822365046136,0.3779644730092272,17.64323616027832,5.487181663513184,19.755786895751953,scan1_subset_middle,power_K8_g0.5,8
1,0.3779644730092272,0.5345224838248488,0.456243478417038,0.1565580108156216,4.891018867492676,4.884771347045898,5.77012300491333,scan1_subset_middle,power_K8_g0.5,8
2,0.5345224838248488,0.6546536707079771,0.5945880772664129,0.1201311868831283,4.3399128913879395,4.372378349304199,4.300903797149658,scan1_subset_middle,power_K8_g0.5,8
3,0.6546536707079771,0.7559289460184544,0.7052913083632157,0.10127527531047731,3.479513168334961,3.825176239013672,3.30619215965271,scan1_subset_middle,power_K8_g0.5,8
4,0.7559289460184544,0.8451542547285166,0.8005416003734855,0.08922530871006218,3.08036732673645,3.461308717727661,2.6715800762176514,scan1_subset_middle,power_K8_g0.5,8
5,0.8451542547285166,0.9258200997725514,0.8854871772505339,0.08066584504403485,2.932803153991699,3.2445616722106934,2.3742048740386963,scan1_subset_middle,power_K8_g0.5,8
6,0.9258200997725514,1.0,0.9629100498862757,0.07417990022744858,2.852858543395996,3.1722195148468018,2.215635299682617,scan1_subset_middle,power_K8_g0.5,8
7,1.0,1.0,1.0,0.0,2.8037502765655518,3.1057262420654297,2.1365160942077637,scan1_subset_middle,power_K8_g0.5,8
0,0.0,0.02040816326530612,0.01020408163265306,0.02040816326530612,20.286705017089844,5.148809909820557,21.37734603881836,scan1_subset_middle,power_K8_g2.0,8
1,0.02040816326530612,0.08163265306122448,0.0510204081632653,0.061224489795918366,4.4007792472839355,4.019143581390381,4.881561279296875,scan1_subset_middle,power_K8_g2.0,8
2,0.08163265306122448,0.18367346938775508,0.13265306122448978,0.1020408163265306,3.8483142852783203,4.003431797027588,3.6942152976989746,scan1_subset_middle,power_K8_g2.0,8
3,0.18367346938775508,0.32653061224489793,0.2551020408163265,0.14285714285714285,3.3545517921447754,3.643277406692505,2.6997838020324707,scan1_subset_middle,power_K8_g2.0,8
4,0.32653061224489793,0.5102040816326531,0.41836734693877553,0.18367346938775514,3.0110371112823486,3.358522653579712,2.224942684173584,scan1_subset_middle,power_K8_g2.0,8
