rank,lora_lr,step,target_cv,actual_cv,pretrained_absrel,uniform_control_absrel,mild_rand_absrel,diff_rand_minus_unif,gain_unif_minus_rand
4,3e-06,0,0.0,0.0,0.005800840138302494,0.005800840138302494,0.005800840138302494,0.0,0.0
4,3e-06,0,0.2,0.20095647148470905,0.005814491868174325,0.005814491868174325,0.005814491868174325,0.0,0.0
4,3e-06,0,0.4,0.3996253566069315,0.005823914310894907,0.005823914310894907,0.005823914310894907,0.0,0.0
4,3e-06,0,0.6,0.601004662459093,0.0058521409286186096,0.0058521409286186096,0.0058521409286186096,0.0,0.0
4,3e-06,25,0.0,0.0,0.005800840138302494,0.0058059929520823065,0.0058025208418257535,-3.472110256553043e-06,3.472110256553043e-06
4,3e-06,25,0.2,0.20095647148470905,0.005814491868174325,0.005818277283105999,0.005814580933656543,-3.6963494494555646e-06,3.6963494494555646e-06
4,3e-06,25,0.4,0.3996253566069315,0.005823914310894907,0.005822181503754109,0.005818574014119804,-3.607489634304545e-06,3.607489634304545e-06
4,3e-06,25,0.6,0.601004662459093,0.0058521409286186096,0.005827170323270062,0.005840991092069695,1.3820768799632788e-05,-1.3820768799632788e-05
4,3e-06,50,0.0,0.0,0.005800840138302494,0.005810940215208878,0.0058056634113503,-5.276803858578032e-06,5.276803858578032e-06
4,3e-06,50,0.2,0.20095647148470905,0.005814491868174325,0.005824399720101307,0.005826965905725956,2.566185624649185e-06,-2.566185624649185e-06
4,3e-06,50,0.4,0.3996253566069315,0.005823914310894907,0.0058418189408257605,0.005847815214656294,5.996273830533201e-06,-5.996273830533201e-06
4,3e-06,50,0.6,0.601004662459093,0.0058521409286186096,0.005839487867585073,0.005834788316860794,-4.69955072427905e-06,4.69955072427905e-06
4,3e-06,100,0.0,0.0,0.005800840138302494,0.005846691888291389,0.005859464022796601,1.2772134505212827e-05,-1.2772134505212827e-05
4,3e-06,100,0.2,0.20095647148470905,0.005814491868174325,0.005858445862152924,0.005845826643053442,-1.2619219099481785e-05,1.2619219099481785e-05
4,3e-06,100,0.4,0.3996253566069315,0.005823914310894907,0.005868894564143071,0.005875026756742349,6.132192599277511e-06,-6.132192599277511e-06
4,3e-06,100,0.6,0.601004662459093,0.0058521409286186096,0.005909071257337928,0.0059099798401196805,9.085827817525288e-07,-9.085827817525288e-07
