seq_id,scan,subset,sched_key,sched_name,sched_type,total_steps,abs_rel,rmse,rot_err_deg,trans_err_deg,recurrent_flops_gflops
scan1_subset_middle,scan1,subset_middle,varC_frozen_kv_even_after_10,"VarC: Freeze K/V {12,14,16}",variantC,16,0.004594046389684,7.4218833446502686,0.0,13.817277283492508,4584.670638999999
scan1_subset_uniform,scan1,subset_uniform,fixed_16,Fixed i=16,fixed,16,0.0032161666313186,5.940981189409892,0.0,17.491902817473143,4626.159807999999
scan1_subset_uniform,scan1,subset_uniform,fixed_15,Fixed i=15,fixed,15,0.0031709329147512,5.895592888196309,0.0,14.20183488079775,4337.024819999999
scan1_subset_uniform,scan1,subset_uniform,fixed_14,Fixed i=14,fixed,14,0.0031030065535257,5.861553072929382,0.0,22.649973064077077,4047.889831999999
scan1_subset_uniform,scan1,subset_uniform,fixed_13,Fixed i=13,fixed,13,0.003040605961966,5.849149664243062,0.0,23.84427252376059,3758.754843999999
scan1_subset_uniform,scan1,subset_uniform,varA_skip_16,VarA: Skip 16,variantA,16,0.0031084578561907,5.937223315238953,1.1944405724589888,30.975947124191777,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varA_skip_15,VarA: Skip 15,variantA,16,0.0030511158596103,5.891560475031535,0.0,18.200623638492942,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varA_skip_15_16,"VarA: Skip {15,16}",variantA,16,0.0035492790242036,6.210125048955281,0.0,26.049955926692597,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varA_skip_14_16,"VarA: Skip {14,16}",variantA,16,0.0033423001877963,6.06381352742513,0.0,8.470856068362918,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varA_skip_even_after_10,"VarA: Skip {12,14,16}",variantA,16,0.0036995192446435,6.233269135157268,0.0,27.65075742988273,4060.483788999999
scan1_subset_uniform,scan1,subset_uniform,varA_skip_13_15,"VarA: Skip {13,15}",variantA,16,0.0032736246163646,5.976133584976196,0.0,6.085515985216671,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_16_a0.5,VarB: reuse_16 (α=0.5),variantB,16,0.0030819348758086,5.890325268109639,0.0,20.03719013616863,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_16_a0.75,VarB: reuse_16 (α=0.75),variantB,16,0.0031427759677171,5.910694678624471,0.0,20.19189810080289,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_16_a1.0,VarB: reuse_16 (α=1.0),variantB,16,0.0032318697000543,5.938157717386882,0.0,21.447508673529757,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_15_a0.5,VarB: reuse_15 (α=0.5),variantB,16,0.0030861528745541,5.890249411265056,0.0,17.22751645777265,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_15_a0.75,VarB: reuse_15 (α=0.75),variantB,16,0.0031336045746381,5.9084551731745405,0.0,13.202822224405155,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_15_a1.0,VarB: reuse_15 (α=1.0),variantB,16,0.0031964648903037,5.924302935600281,0.0,12.074292763993377,4437.601134999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_15_16_a0.5,VarB: reuse_15_16 (α=0.5),variantB,16,0.0031264887657016,5.940014123916626,0.0,16.47684928394526,4249.042461999999
scan1_subset_uniform,scan1,subset_uniform,varB_reuse_15_16_a0.75,VarB: reuse_15_16 (α=0.75),variantB,16,0.0031250546841571,5.9108437697092695,0.0,21.325699898071488,4249.042461999999
