scene,subset,view_idx,frame_id,step_i,abs_rel,rmse,mae,delta1,geom_l2,rot_err_deg,trans_err_deg,hidden_delta_1step,hidden_delta_2step,depth_delta,abs_rel_16,future_gain,oracle_k_star_1pct,oracle_k_star_2pct,oracle_k_star_5pct,oracle_k_star_10pct,safe_to_halt_1pct,safe_to_halt_2pct,safe_to_halt_5pct,safe_to_halt_10pct
scan1,subset_middle,0,24,8,0.0036557468120008707,6.670477867126465,2.3901548385620117,0.9996281266212463,645.3838500976562,0.0,0.0,0.06302516907453537,0.12978443503379822,0.0,0.004100610502064228,-0.00044486369006335735,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,8,0.009107130579650402,18.01166534423828,6.28811502456665,0.9972519874572754,644.590576171875,0.0,1.31536865234375,0.06907843798398972,0.14175723493099213,0.0,0.006002626847475767,0.003104503732174635,10,10,10,10,0,0,0,0
scan1,subset_middle,2,1,8,0.006666087545454502,10.225929260253906,4.285360336303711,0.9983422160148621,652.76416015625,0.0,4.11765718460083,0.06821053475141525,0.14141610264778137,0.0,0.005082026124000549,0.0015840614214539528,10,10,10,10,0,0,0,0
scan1,subset_middle,3,2,8,0.006249202415347099,5.3496222496032715,4.02169942855835,1.0,652.1631469726562,0.0,3.2190535068511963,0.06961449235677719,0.14437781274318695,0.0,0.003950988873839378,0.002298213541507721,10,10,10,10,0,0,0,0
scan1,subset_middle,4,3,8,0.007507906295359135,6.5747857093811035,4.939772129058838,1.0,655.3831176757812,0.0,0.0,0.06951521337032318,0.14405906200408936,0.0,0.003305153688415885,0.00420275260694325,12,12,12,12,0,0,0,0
scan1,subset_middle,5,4,8,0.008883877657353878,8.93320083618164,5.920082092285156,0.9997252225875854,647.48779296875,0.0,1.2979965209960938,0.07116509228944778,0.14715877175331116,0.0,0.0032369771506637335,0.0056469005066901445,12,12,12,12,0,0,0,0
scan1,subset_middle,0,24,10,0.0030388759914785624,6.063965797424316,1.9520424604415894,0.999595046043396,645.370849609375,0.0,0.0,0.05563714727759361,0.10960381478071213,0.010406401939690113,0.004100610502064228,-0.0010617345105856657,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,10,0.00441772909834981,16.738689422607422,3.073972463607788,0.9972424507141113,644.5792236328125,0.0,0.0,0.059741005301475525,0.11761569231748581,0.0075346678495407104,0.006002626847475767,-0.0015848977491259575,10,10,10,10,1,1,1,1
scan1,subset_middle,2,1,10,0.003743822453543544,9.047964096069336,2.3832600116729736,0.9983810782432556,652.7543334960938,0.0,0.0,0.05963844433426857,0.11732205003499985,0.005776654928922653,0.005082026124000549,-0.0013382036704570055,10,10,10,10,1,1,1,1
scan1,subset_middle,3,2,10,0.003229741705581546,3.2345540523529053,2.0868914127349854,1.0,652.1539916992188,0.0,0.0,0.060684435069561005,0.11932338774204254,0.005425064824521542,0.003950988873839378,-0.0007212471682578325,10,10,10,10,1,1,1,1
scan1,subset_middle,4,3,10,0.0037912551779299974,3.922304391860962,2.47668194770813,0.9999919533729553,655.3756713867188,0.0,0.0,0.06047732010483742,0.11891598999500275,0.005470798816531897,0.003305153688415885,0.00048610148951411247,12,12,12,12,0,0,0,0
scan1,subset_middle,5,4,10,0.004659946076571941,5.42791748046875,3.097900867462158,0.999826967716217,647.4807739257812,0.0,3.5286426544189453,0.061900027096271515,0.12186679244041443,0.005566150415688753,0.0032369771506637335,0.001422968925908208,12,12,12,12,0,0,0,0
scan1,subset_middle,0,24,12,0.0034969723783433437,6.099589824676514,2.2399275302886963,0.9996115565299988,645.3618774414062,0.0,0.0,0.056891243904829025,0.1089186742901802,0.009350208565592766,0.004100610502064228,-0.0006036381237208843,8,8,8,8,1,1,1,1
scan1,subset_middle,1,0,12,0.004210681188851595,16.578630447387695,2.9158334732055664,0.9972615838050842,644.5714111328125,0.0,0.0,0.06039927154779434,0.11535055190324783,0.0048156133852899075,0.006002626847475767,-0.0017919456586241722,10,10,10,10,1,1,1,1
scan1,subset_middle,2,1,12,0.0038376711308956146,8.893903732299805,2.446545362472534,0.9984356164932251,652.7467041015625,0.0,0.4068635404109955,0.06017051637172699,0.11503248661756516,0.004233687650412321,0.005082026124000549,-0.0012443549931049347,10,10,10,10,1,1,1,1
scan1,subset_middle,3,2,12,0.003119590925052762,3.0352680683135986,2.0199081897735596,1.0,652.1463012695312,0.0,1.7196496725082397,0.06074988842010498,0.11639156937599182,0.004383800085633993,0.003950988873839378,-0.0008313979487866163,10,10,10,10,1,1,1,1
scan1,subset_middle,4,3,12,0.002958528930321336,3.4745571613311768,1.932804822921753,0.9999839067459106,655.3695068359375,0.0,0.0,0.06046581640839577,0.11591391265392303,0.004284627735614777,0.003305153688415885,-0.0003466247580945492,12,12,12,12,1,1,1,1
scan1,subset_middle,5,4,12,0.003074467182159424,4.14940881729126,1.994062900543213,0.9998473525047302,647.4751586914062,0.0,0.0,0.06136605143547058,0.11762280017137527,0.00500849774107337,0.0032369771506637335,-0.00016250996850430965,12,12,12,12,1,1,1,1
