mode,name,lr,steps,k12_absrel,k12_rmse,k12_rot_deg,k12_trans_deg,k14_absrel,k14_rmse,k14_rot_deg,k14_trans_deg,beats_pretrained_k14
uniform,Control 2 (Uniform FT),1e-06,200,0.005847645236644895,9.684271017710369,0.0,18.01414902164986,0.005764613777864724,9.648458560307821,0.0,18.133352818987575,False
mild,"Treatment 1 (Mild Rand FT, sigma=0.2)",1e-06,200,0.005863295181188733,9.694213271141052,0.0,17.422961871307383,0.00577706943731755,9.648312199115752,0.0,16.816963672750532,False
moderate,"Treatment 2 (Mod Rand FT, sigma=0.5)",1e-06,200,0.005861448407328377,9.696016863981882,0.0,13.3485485267441,0.005774643392457316,9.659612913926443,0.0,11.813636021529721,False
