model,schedule_key,K,abs_rel,rmse,rot_err_deg,trans_err_deg,delta_vs_pre_pct,beats_pre_k14
Pretrained,uniform_K10,10,0.006228690850548446,10.041857337951662,0.0,13.641188733231976,0.0,False
Pretrained,uniform_K12,12,0.005800840138302494,9.740981698036194,0.0,15.80366622021189,0.0,False
Pretrained,uniform_K14,14,0.005712747306097298,9.685964337984721,0.0,14.206173825169065,0.0,True
Pretrained,uniform_K16,16,0.005718820891343056,9.69004316329956,0.0,15.610137342861696,0.0,False
B1_Uniform_FT,uniform_K10,10,0.006186652513376127,9.836320141951244,0.0,14.024722333991548,-0.6749144913592474,False
B1_Uniform_FT,uniform_K12,12,0.005972780714121958,9.658190882205963,0.0,16.1138725133135,2.9640633377250607,False
B1_Uniform_FT,uniform_K14,14,0.005933527955009291,9.636500612894693,0.0,16.759577623963274,3.8647018165209337,False
B1_Uniform_FT,uniform_K16,16,0.0059263809467665855,9.638906558354696,0.0,14.590637239679605,3.6294204586425542,False
B1_Mild_Rand_FT,uniform_K10,10,0.006144418086235722,9.817367855707804,0.0,17.03733451385501,-1.3529771557903487,False
B1_Mild_Rand_FT,uniform_K12,12,0.0059863817334796,9.66104730765025,0.11944405724589888,13.201766123302344,3.1985297086880373,False
B1_Mild_Rand_FT,uniform_K14,14,0.005923376965802163,9.635278896490735,0.11944405724589888,16.89463444422172,3.68701166739962,False
B1_Mild_Rand_FT,uniform_K16,16,0.005926067583883802,9.64005537033081,0.0,14.815716787406814,3.6239409570330854,False
B2_Uniform_FT,uniform_K10,10,0.006233352345104018,9.803505853811899,0.0,14.854927938489766,0.07483907401120966,False
B2_Uniform_FT,uniform_K12,12,0.00610407922649756,9.64759019613266,0.11944405724589888,18.392967074925366,5.2275029300118465,False
B2_Uniform_FT,uniform_K14,14,0.0060796046086276576,9.631623136997224,0.11944405724589888,15.05304331432572,6.421731662081519,False
B2_Uniform_FT,uniform_K16,16,0.006050475923499713,9.633545108636222,0.0,17.24196057363951,5.7993603656779005,False
B2_Mild_Rand_FT,uniform_K10,10,0.006234971228210877,9.805454576015475,0.0,16.490676695984394,0.10082981822541162,False
B2_Mild_Rand_FT,uniform_K12,12,0.0061002336054419475,9.648127524058026,0.0,16.445341805398932,5.1612087215191735,False
B2_Mild_Rand_FT,uniform_K14,14,0.0060649927278670175,9.630820910135904,0.11944405724589888,17.08293574268681,6.1659548881807265,False
B2_Mild_Rand_FT,uniform_K16,16,0.006038084890072544,9.63001341422399,0.0,17.259441573038256,5.582689243035718,False
